Party_Id,Name,Abbreviation,Initials,Matched to democlub,Duplicate in MNIS?,Duplicate ID,Notes (inc. expanded name),Name of Party remaining in MNIS,Actioned
1024,Touch Love Worldwide (UK),Touch Love Worldwide (UK),Touch Love Worldwide (UK),No,No,,,No change,-
154,TPP,TPP,TPP,No,Yes,134,The Peace Party,Changed to The Peace Party,PG
155,True Engli,True Engli,True Engli,No,No,,"The True English (Poetry) Party, EC ID PP574",Renamed - The True English (Poetry) Party,AB
156,Trust,Trust,Trust,Yes,No,,,No change,-
157,TUSC,TUSC,TUSC,Yes,No,,Trade Unionist and Socialist Coalition,Renamed - Trade Unionist and Socialist Coalition,AB
158,TUV,TUV,TUV,Yes,No,,Traditional Unionist Voice,Renamed - Traditional Unionist Voice,AB
250,U(niversal) Party,U(niversal) Party,U(niversal) Party,Yes,No,,,No change,-
209,Ubuntu Party,Ubuntu Party,Ubuntu Party,Yes,No,,,No change,-
159,UCU,UCU,UCU,No,No,,Ulster Conservatives and Unionists – New Force ,Renamed - Ulster Conservatives and Unionists – New Force ,AB
1009,UK European Union Party,UK EU,UKEU,Yes,No,,,No change,-
35,UK Independence Party,UKIP,UKIP,Yes,No,,,No change,-
39,United Kingdom Unionist,UKU,,Yes,No,,No candidates associated with party.,No change,-
20,Opposition Unity,Unity,Ind,No,No,,Two Members - both stood as Unity (merged with Nationalist Party in 1977 to form Irish Independence Party). One candidate who stood for Unity For Peace And Socialism,"Renamed - Unity
Created - Unity For Peace And Socialism",AB
1014,Universal Good Party,Universal Good Party,Universal Good Party,Yes,No,,,No change,-
160,UPP,UPP,UPP,No,No,,United People's Party,Renamed - United People's Party,AB
36,Ulster Popular Unionist Party,UPUP,,No,No,,No candidates associated with party.,No change,-
37,Ulster Progressive Unionist Party,UPUP,,No,No,,No candidates associated with party.,No change,-
161,UU,UU,UU,Yes,Yes,38,Ulster Unionist,Ulster Unionist Party,PG
38,Ulster Unionist Party,UUP,UUP,Yes,Yes,161,,kept,PG
40,United Ulster Unionist Movement,UUUM,,No,No,,No candidates associated with party.,No change,-
41,United Ulster Unionist Party,UUUP,,No,No,,No candidates associated with party.,No change,-
162,UV,UV,UV,Yes,No,,United Voice,Renamed - United Voice,AB
183,Vapers In Power,Vapers In Power,Vapers In Power,Yes,No,,,No change,-
1020,Veterans and People's Party,Veterans and People's Party,Veterans and People's Party,Yes,No,,,No change,-
42,Vanguard Unionist Progressive Party,VUPP,,Yes,No,,,No change,-
207,War Veteran's Pro-Traditional Family Party,War Veteran's Pro-Traditional Family Party,War Veteran's Pro-Traditional Family Party,Yes,No,,,No change,-
163,WCP,WCP,WCP,Yes,Yes,35,"Candidates all listed as UKIP on electoral papers, except one (Communist Party)",Deleted,PG
197,We Are The Reality Party,We Are The Reality Party,We Are The Reality Party,Yes,No,,,No change,-
260,Women’s Equality Party,WEP,WEP,Yes,No,,,No change,-
164,Wessex Reg,Wessex Reg,Wessex Reg,No,Yes,166,Wessex Regionalists,kept,AB
1042,Workers,Workers,Workers,Yes,No,,Workers Party of Britain,Workers Party of Britain,AB
202,World Peace Through Song,World Peace Through Song,World Peace Through Song,No,No,,,No change,-
165,WP,WP,WP,Yes,No,,Used for candidates for Anticapitalists - Workers Power and two 2017 candidates for The Workers' Party of Ireland. New party created for Anticapitalists and candidate moved over. ,"Renamed - The Workers Party
Created - Anticapitalists - Workers Power",AB
166,WR,WR,WR,No,Yes,164,,deleted,AB
167,WRP,WRP,WRP,No,No,,Workers Revolutionary Party,Renamed - Workers Revolutionary Party,AB
1013,Wycombe Independents,Wycombe Independents,Wycombe Independents,Yes,No,,,No change,-
6,Crossbench,XB,,No,No,,Has HoL Order value (4). No candidates associated with party. ,No change,-
1019,Yeshua,Yeshua,Yeshua,No,No,,EC ID PP6533,No change,-
182,Yorkshire First,Yorkshire First,Yorkshire First,Yes,No,,Later became The Yorkshire Party,No change,-
168,You,You,You,No,No ,,,Renamed - You Party,AB
212,Young People's Party,Young People's Party,Young People's Party,No,Yes,"170, 171",Known as Shared Ground since 2021,kept,PG
169,Youth,Youth,Youth,Yes,No,,,Renamed - The Youth Party,AB
170,YPP,YPP,YPP,No,Yes,"171, 212",Young People's Party,deleted,PG
171,YPPUK,YPPUK,YPPUK,No,Yes,"170, 212 ",Young People's Party UK,deleted,PG
172,YRDPL,YRDPL,YRDPL,Yes,No,,Your Right To Democracy Party Limited,Renamed - Your Right To Democracy Party Limited,AB
1001,Democrats and Veterans Party,,,No,No,,,No change,-
50,Independent Liberal Democrat,,,No,Yes,51,Same as Liberal Democrat Independent?,No change,-
53,Independent Social Democrat,,,No,No,,No candidates associated with party,No change,-
52,Independent Ulster Unionist,,,No,No,,No candidates associated with party,No change,-
1003,Libertarian Party,,,Yes,Yes,109,,kept,PG
49,Non-affiliated,,,No,Yes,"46, 1045","Seem to be used in the same way for no description, to note people who choose not to be listed as independent",No change,-
