On beta,Route,What it is,Page type
✓,/resource/:resource,Provides a way to look up any type of resource (a member or committee or bill) or whatever if you only know the resource ID and not the resource type. Is really quite clever, Redirect
,,,
,/petition-a-hybrid-bill,A description of a hybrid bill,A hack
,/petition-a-hybrid-bill/:hybrid-bill,A petition against a hybrid bill,A hack
,,,
,/media,Not much to see here. Namespace for the photos and stuff,Namespace
✓,/media/:medium,For now a photo page. In the future other kinds of mime types. Maybe, Thing page
,,,
✓,/meta,A list of all the meta information for the Parliament site,HTML
✓,/meta/cookie-policy,The cookie policy. Hell yeah, HTML
,,,
✓,/who-should-i-contact-with-my-issue,A page about who to contact about stuff, HTML
