procedure,from_step,to_step
Legislative Reform Order,LROAFF AA,LROAFF BA
Legislative Reform Order,LROAFF BA,LROAFF AK
Legislative Reform Order,LRONEG AD,LRONEG AH
Legislative Reform Order,LRONEG BE,LRONEG AH
Legislative Reform Order,Instrument withdrawn from the House of Commons,LRONEG BE
Legislative Reform Order,LRONEG AB,LRONEG BE
Legislative Reform Order,LRONEG AY,LRONEG AG
Legislative Reform Order,Instrument withdrawn from the House of Commons,LRONEG BD
Legislative Reform Order,LRONEG AA,LRONEG BD
Legislative Reform Order,LROLCC AC,LROLCC AH
Legislative Reform Order,LROAFF AD,LROLCC AC
Legislative Reform Order,LRONEG AH,LROLCC AC
Legislative Reform Order,LROAFF AD,LROLCC AE
Legislative Reform Order,LRONEG AH,LROLCC AE
Legislative Reform Order,LROLCC AE,LROLCC AJ
Legislative Reform Order,LROLCC AJ,LROLCC AD
Legislative Reform Order,LROLPD AC,LROLPD AU
Legislative Reform Order,LRO AQ,LROLPD AU
Legislative Reform Order,LROLPD AG,LROLPD AM
Legislative Reform Order,LROLPD AV,LROLPD AM
Legislative Reform Order,LROLPD AD,LROLPD AV
Legislative Reform Order,Instrument withdrawn from the House of Lords,LROLPD AV
Made affirmative remedial order,Considered by the Joint Committee on Human Rights (JCHR),JCHRSR AA
Made affirmative remedial order,JCHRSR AA,JCHRSR AA
Made affirmative remedial order,JCHRSR AA,JCHRSR AB
Made affirmative remedial order,JCHRSR AB,JCHRSR AB
Made affirmative remedial order,JCHRSR AB,JCHRSR AC
Made affirmative remedial order,JCHRSR AC,JCHRSR AC
Made affirmative remedial order,JCHRSR AA,JCHRSR AC
Made affirmative remedial order,JCHRSR AC,JCHRSR AA
Made affirmative remedial order,JCHRSR AA,Motion tabled that Standing Order 73 be dispensed with to enable motion to approve to be moved
Made affirmative remedial order,Motion tabled that Standing Order 73 be dispensed with to enable motion to approve to be moved,JCHRSR AA
Made affirmative remedial order,JCHRSR AA,JCHRSR AD
Made affirmative remedial order,JCHRSR AD,JCHRSR AA
Made affirmative remedial order,JCHRSR AA,JCHRSR AD
Made affirmative remedial order,JCHRSR AA,JCHRSR AB
Made affirmative remedial order,JCHRSR AA,JCHRSR AC
Made affirmative remedial order,JCHRSR AA,JCHRSR AE
Made affirmative remedial order,JCHRSR AA,JCHRSR AF
Made affirmative remedial order,JCHRSR AB,Motion that Standing Order 73 be dispensed with to enable motion to approve to be moved withdrawn
Made affirmative remedial order,Motion that Standing Order 73 be dispensed with to enable motion to approve to be moved withdrawn,JCHRSR AA
Made affirmative remedial order,JCHRSR AA,JCHRSR AA
Made affirmative remedial order,JCHRSR AB,JCHRSR AA
Made affirmative remedial order,JCHRSR AC,Motion that Standing Order 73 be dispensed with to enable motion to approve to be moved lapsed at end of session
Made affirmative remedial order,Motion that Standing Order 73 be dispensed with to enable motion to approve to be moved lapsed at end of session,JCHRSR AB
Made affirmative remedial order,JCHRSR AC,JCHRSR AB
Made affirmative remedial order,Motion that Standing Order 73 be dispensed with to enable motion to approve to be moved not moved,JCHRSR AC
Made affirmative remedial order,JCHRSR AD,Motion that Standing Order 73 be dispensed with to enable motion to approve to be moved not moved
Made affirmative remedial order,JCHRSR AE,Motion that Standing Order 73 be dispensed with to enable motion to approve to be moved not called
Made affirmative remedial order,Motion that Standing Order 73 be dispensed with to enable motion to approve to be moved not called,JCHRSR AD
Made affirmative remedial order,JCHRSR AD,JCHRSR AC
Made affirmative remedial order,Question on motion that Standing Order 73 be dispensed with to enable motion to approve to be moved put,JCHRSR AD
Made affirmative remedial order,Question on motion that Standing Order 73 be dispensed with to enable motion to approve to be moved put,JCHRSR AB
Made affirmative remedial order,JCHRSR AF,Question on motion that Standing Order 73 be dispensed with to enable motion to approve to be moved put
Made affirmative remedial order,JCHRSR AA,JCHRSR AD
Made affirmative remedial order,JCHRSR AD,JCHRSR AI
Made affirmative remedial order,JCHRSR AF,JCHRSR AD
Legislative Reform Order,LROLD AF,Motion to consider the instrument not moved
Legislative Reform Order,LROLD AD,LROLD AC
Legislative Reform Order,Motion to consider the instrument not called,LROLD AD
Legislative Reform Order,LROLD AG,Motion to consider the instrument not called
Legislative Reform Order,Question put on motion to consider the instrument,LROLD AD
Legislative Reform Order,Grand Committee debate,LROLD AR
Legislative Reform Order,LROLD AR,LROLD AS
Legislative Reform Order,LROLD AM,LROLD AS
Legislative Reform Order,Question put on motion to consider the instrument,LROLD AM
Legislative Reform Order,LROLD AS,LROLD AH
Legislative Reform Order,LROLD AH,Question put on motion to consider the instrument
Legislative Reform Order,Question put on motion to consider the instrument,LROLD AB
Legislative Reform Order,LROLD AB,LROLD AN
Proposed negative statutory instrument,PNSI AF,PNSICC AA
Proposed negative statutory instrument,PNSI AG,PNSICC AA
Proposed negative statutory instrument,PNSICC AA,PNSICC AA
Proposed negative statutory instrument,PNSICC AA,PNSICC AA
Proposed negative statutory instrument,PNSICC AA,Considered by the Transport Committee
Proposed negative statutory instrument,Considered by the Transport Committee,PNSICC AA
Proposed negative statutory instrument,PNSICC AA,PNSICC AB
Proposed negative statutory instrument,Transport Committee agreed that the instrument should follow the negative procedure,PNSICC AA
Proposed negative statutory instrument,PNSICC AA,PNSICC AA
Proposed negative statutory instrument,Transport Committee recommended the instrument should follow the affirmative procedure,PNSICC AA
Proposed negative statutory instrument,Transport Committee recommended the instrument should follow the affirmative procedure,PNSICC AG
Proposed negative statutory instrument,Considered by the Transport Committee,PNSICC AF
Proposed negative statutory instrument,PNSI AF,PNSICC AE
Proposed negative statutory instrument,PNSI AG,PNSICC AE
Proposed negative statutory instrument,PNSICC AE,PNSICC AC
Proposed negative statutory instrument,PNSICC AC,PNSICC AF
Proposed negative statutory instrument,PNSICC AF,Considered by the Business and Trade Committee
Proposed negative statutory instrument,Considered by the Business and Trade Committee,PNSICC AF
Proposed negative statutory instrument,PNSICC AF,PNSICC AB
UK Public Bills,SC AV,SC BZ
UK Public Bills,SC BZ,"Call for evidence by the Economy, Trade and Rural Affairs Committee"
UK Public Bills,"Call for evidence by the Economy, Trade and Rural Affairs Committee",SC AX
UK Public Bills,SC AX,SC AV
UK Public Bills,SC CA,"Economy, Trade and Rural Affairs Committee oral evidence session"
UK Public Bills,SC AW,SC CB
UK Public Bills,SC CB,"Considered by the Economy, Trade and Rural Affairs Committee"
UK Public Bills,"Considered by the Economy, Trade and Rural Affairs Committee",SC AY
UK Public Bills,SC AY,SC AW
UK Public Bills,"Considered by the Economy, Trade and Rural Affairs Committee",SC CC
UK Public Bills,"Considered by the Economy, Trade and Rural Affairs Committee",SC AM
UK Public Bills,SC CC,"Government response to report by the Economy, Trade and Rural Affairs Committee"
UK Public Bills,SC AM,SC AZ
UK Public Bills,SC AZ,SC AR
UK Public Bills,SC AR,SC CD
UK Public Bills,SC AR,SC CE
UK Public Bills,SC AR,SC CF
UK Public Bills,SC CD,"Economy, Trade and Rural Affairs Committee supports the granting of consent"
UK Public Bills,"Economy, Trade and Rural Affairs Committee supports the granting of consent",SC BA
UK Public Bills,SC CE,"Economy, Trade and Rural Affairs Committee does not take position on the granting of consent"
UK Public Bills,"Economy, Trade and Rural Affairs Committee does not take position on the granting of consent",SC BA
UK Public Bills,SC CF,"Economy, Trade and Rural Affairs Committee does not support the granting of consent"
UK Public Bills,"Economy, Trade and Rural Affairs Committee does not support the granting of consent",SC AZ
UK Public Bills,SC BA,SC AZ
UK Public Bills,SC AZ,SC AM
UK Public Bills,SC AA,SC CG
UK Public Bills,SC CG,Referred to the Equality and Social Justice Committee by the Business Committee
UK Public Bills,Referred to the Equality and Social Justice Committee by the Business Committee,SC AX
UK Public Bills,Referred to the Equality and Social Justice Committee by the Business Committee,SC CI
UK Public Bills,Referred to the Equality and Social Justice Committee by the Business Committee,SC AY
UK Public Bills,SC AX,SC CH
UK Public Bills,SC CH,Call for evidence by the Equality and Social Justice Committee
UK Public Bills,Call for evidence by the Equality and Social Justice Committee,SC BA
UK Public Bills,SC BA,SC AX
UK Public Bills,NIA BD,NIA BA
UK Public Bills,SC AA,SC CO
UK Public Bills,SC CO,"Referred to the Culture, Communication, Welsh Language, Sport and International Relations Committee"
UK Public Bills,"Referred to the Culture, Communication, Welsh Language, Sport and International Relations Committee",SC AZ
UK Public Bills,SC AZ,SC CP
UK Public Bills,SC CP,"Considered by the Culture, Communication, Welsh Language, Sport and International Relations Committee"
UK Public Bills,"Considered by the Culture, Communication, Welsh Language, Sport and International Relations Committee",SC BD
UK Public Bills,SC BD,SC AZ
UK Public Bills,"Considered by the Culture, Communication, Welsh Language, Sport and International Relations Committee",SC CQ
Proposed negative statutory instrument,PNSI AF,PNSICC AH
Proposed negative statutory instrument,PNSI AG,PNSICC AH
Proposed negative statutory instrument,PNSICC AH,PNSICC AD
Proposed negative statutory instrument,PNSICC AD,PNSICC AI
Proposed negative statutory instrument,PNSICC AI,Considered by the Public Administration and Constitutional Affairs Committee (PACAC)
Proposed negative statutory instrument,Considered by the Public Administration and Constitutional Affairs Committee (PACAC),PNSICC AD
Proposed negative statutory instrument,Public Administration and Constitutional Affairs Committee (PACAC) agreed that the instrument should follow the negative procedure,PNSICC AD
Proposed negative statutory instrument,Public Administration and Constitutional Affairs Committee (PACAC) recommended the instrument should follow the affirmative procedure,PNSICC AD
Proposed negative statutory instrument,PNSICC AD,PNSICC AD
Proposed negative statutory instrument,PNSICC AD,PNSICC AH
Proposed negative statutory instrument,Considered by the Public Administration and Constitutional Affairs Committee (PACAC),PNSICC AI
Proposed negative statutory instrument,PNSICC AJ,PNSICC AM
Proposed negative statutory instrument,Public Administration and Constitutional Affairs Committee (PACAC) recommended the instrument should follow the affirmative procedure,PNSICC AJ
Proposed negative statutory instrument,PNSICC AL,PNSICC AB
Proposed negative statutory instrument,PNSICC AM,PNSICC AC
Proposed negative statutory instrument,PNSI AF,PNSICC AK
Proposed negative statutory instrument,PNSI AG,PNSICC AK
Proposed negative statutory instrument,PNSICC AK,PNSICC AE
Proposed negative statutory instrument,PNSICC AE,PNSICC AL
Proposed negative statutory instrument,PNSICC AL,Considered by the Energy Security and Net Zero Committee
Proposed negative statutory instrument,Considered by the Energy Security and Net Zero Committee,PNSICC AL
Proposed negative statutory instrument,Considered by the Energy Security and Net Zero Committee,PNSICC AE
Proposed negative statutory instrument,PNSICC AE,PNSICC AJ
Proposed negative statutory instrument,Energy Security and Net Zero Committee agreed that the instrument should follow the negative procedure,PNSICC AE
Proposed negative statutory instrument,PNSICC AE,PNSICC AE
Proposed negative statutory instrument,Energy Security and Net Zero Committee recommended the instrument should follow the affirmative procedure,PNSICC AE
Proposed negative statutory instrument,Energy Security and Net Zero Committee recommended the instrument should follow the affirmative procedure,PNSICC AM
Treaties subject to the Constitutional Reform and Governance Act 2010,Drawn to the special attention of the House by the Secondary Legislation Scrutiny Committee (SLSC),Treaty Lords CE
Treaties subject to the Constitutional Reform and Governance Act 2010,Treaty Lords CE,Treaty Lords AW
Treaties subject to the Constitutional Reform and Governance Act 2010,Treaty Lords AW,Secondary Legislation Scrutiny Committee (SLSC) draws the special attention of the House to this instrument on the grounds that it is politically or legally important or gives rise to issues of public policy likely to be of interest to the House
Treaties subject to the Constitutional Reform and Governance Act 2010,Secondary Legislation Scrutiny Committee (SLSC) draws the special attention of the House to this instrument on the grounds that it is politically or legally important or gives rise to issues of public policy likely to be of interest to the House,Treaty Lords CF
Treaties subject to the Constitutional Reform and Governance Act 2010,Treaty Lords CF,Treaty Lords CE
Treaties subject to the Constitutional Reform and Governance Act 2010,Drawn to the special attention of the House by the Secondary Legislation Scrutiny Committee (SLSC),Treaty Lords CF
Treaties subject to the Constitutional Reform and Governance Act 2010,Treaty Lords CF,Treaty Lords AX
Treaties subject to the Constitutional Reform and Governance Act 2010,Treaty Lords AX,Secondary Legislation Scrutiny Committee (SLSC) draws the special attention of the House to this instrument on the grounds that it may be inappropriate in view of changed circumstances since the enactment of the parent Act
Treaties subject to the Constitutional Reform and Governance Act 2010,CT BE,TREATY CC AA
Treaties subject to the Constitutional Reform and Governance Act 2010,TREATY CC AA,Correspondence published by the Environmental Audit Committee
Treaties subject to the Constitutional Reform and Governance Act 2010,CT BE,TREATY CC AD
Treaties subject to the Constitutional Reform and Governance Act 2010,TREATY CC AD,Correspondence published by the International Development Committee
Treaties subject to the Constitutional Reform and Governance Act 2010,CT BE,Treaty CC AE
Treaties subject to the Constitutional Reform and Governance Act 2010,Treaty CC AE,Oral evidence session by the Foreign Affairs Committee
Proposed negative statutory instrument,PNSICC AD,PNSICC AO
Proposed negative statutory instrument,PNSICC AO,PNSICC AD
Proposed negative statutory instrument,PNSICC AD,European Statutory Instruments Committee (ESIC) agreed that the instrument should follow the negative procedure
Proposed negative statutory instrument,PNSICC AD,European Statutory Instruments Committee (ESIC) recommended that the instrument should follow the affirmative procedure
Proposed negative statutory instrument,PNSICC AB,PNSICC AP
Proposed negative statutory instrument,PNSICC AA,Transport Committee agreed that the instrument should follow the negative procedure
Proposed negative statutory instrument,PNSICC AA,Transport Committee recommended the instrument should follow the affirmative procedure
Proposed negative statutory instrument,PNSICC AF,PNSICC AQ
Proposed negative statutory instrument,PNSICC AQ,PNSICC AE
Proposed negative statutory instrument,PNSICC AE,Business and Trade Committee agreed that the instrument should follow the negative procedure
Proposed negative statutory instrument,PNSICC AE,Business and Trade Committee recommended the instrument should follow the affirmative procedure
Proposed negative statutory instrument,PNSICC AH,PNSICC AR
Proposed negative statutory instrument,PNSICC AR,PNSICC AH
Proposed negative statutory instrument,PNSICC AH,Public Administration and Constitutional Affairs Committee (PACAC) agreed that the instrument should follow the negative procedure
Proposed negative statutory instrument,PNSICC AH,Public Administration and Constitutional Affairs Committee (PACAC) recommended the instrument should follow the affirmative procedure
Proposed negative statutory instrument,PNSICC AJ,PNSICC AS
Proposed negative statutory instrument,PNSICC AS,PNSICC AG
Proposed negative statutory instrument,PNSICC AG,Energy Security and Net Zero Committee agreed that the instrument should follow the negative procedure
Proposed negative statutory instrument,PNSICC AG,Energy Security and Net Zero Committee recommended the instrument should follow the affirmative procedure
Proposed negative statutory instrument,PNSICC AB,PNSICC AK
Legislative Reform Order,Motion to refer the instrument to a Delegated Legislation Committee (DLC) tabled by the Government,LRONEG AG
Legislative Reform Order,LRONEG AG,LRONEG AK
Legislative Reform Order,LRONEG AK,LRONEG AN
Legislative Reform Order,LRONEG AN,LRONEG AZ
Legislative Reform Order,LRONEG AN,LRONEG BA
Legislative Reform Order,LRONEG AN,LRONEG BB
Legislative Reform Order,LRONEG AN,LRONEG BC
Legislative Reform Order,LRONEG AN,LRONEG BI
Made affirmative,EVEL CERT AA,Certified as England only under the English votes for English laws (EVEL) process
Draft affirmative,EVEL CERT AA,Certified as England only under the English votes for English laws (EVEL) process
Made negative,EVEL CERT AA,Certified as England only under the English votes for English laws (EVEL) process
Draft negative,EVEL CERT AA,Certified as England only under the English votes for English laws (EVEL) process
Draft affirmative remedial order,EVEL CERT AA,Certified as England only under the English votes for English laws (EVEL) process
Made affirmative remedial order,EVEL CERT AA,Certified as England only under the English votes for English laws (EVEL) process
Legislative Reform Order,EVEL CERT AA,Certified as England only under the English votes for English laws (EVEL) process
Enhanced affirmative: Investigatory Powers Act 2016,EVEL CERT AA,Certified as England only under the English votes for English laws (EVEL) process
Made affirmative,EVEL CERT AB,Certified as England and Wales only under the English votes for English laws (EVEL) process
Draft affirmative,EVEL CERT AB,Certified as England and Wales only under the English votes for English laws (EVEL) process
Made negative,EVEL CERT AB,Certified as England and Wales only under the English votes for English laws (EVEL) process
Draft negative,EVEL CERT AB,Certified as England and Wales only under the English votes for English laws (EVEL) process
Draft affirmative remedial order,EVEL CERT AB,Certified as England and Wales only under the English votes for English laws (EVEL) process
Made affirmative remedial order,EVEL CERT AB,Certified as England and Wales only under the English votes for English laws (EVEL) process
Legislative Reform Order,EVEL CERT AB,Certified as England and Wales only under the English votes for English laws (EVEL) process
Enhanced affirmative: Investigatory Powers Act 2016,EVEL CERT AB,Certified as England and Wales only under the English votes for English laws (EVEL) process
Made affirmative,EVEL CERT AC,"Certified as England, Wales and Northern Ireland only under the English votes for English laws (EVEL) process"
Draft affirmative,EVEL CERT AC,"Certified as England, Wales and Northern Ireland only under the English votes for English laws (EVEL) process"
Made negative,EVEL CERT AC,"Certified as England, Wales and Northern Ireland only under the English votes for English laws (EVEL) process"
Draft negative,EVEL CERT AC,"Certified as England, Wales and Northern Ireland only under the English votes for English laws (EVEL) process"
Draft affirmative remedial order,EVEL CERT AC,"Certified as England, Wales and Northern Ireland only under the English votes for English laws (EVEL) process"
Made affirmative remedial order,EVEL CERT AC,"Certified as England, Wales and Northern Ireland only under the English votes for English laws (EVEL) process"
Legislative Reform Order,EVEL CERT AC,"Certified as England, Wales and Northern Ireland only under the English votes for English laws (EVEL) process"
Enhanced affirmative: Investigatory Powers Act 2016,EVEL CERT AC,"Certified as England, Wales and Northern Ireland only under the English votes for English laws (EVEL) process"
Made affirmative,EVEL CERT AD,Not certified under the English votes for English laws (EVEL) process
Draft affirmative,EVEL CERT AD,Not certified under the English votes for English laws (EVEL) process
Made negative,EVEL CERT AD,Not certified under the English votes for English laws (EVEL) process
Draft negative,EVEL CERT AD,Not certified under the English votes for English laws (EVEL) process
Draft affirmative remedial order,EVEL CERT AD,Not certified under the English votes for English laws (EVEL) process
Made affirmative remedial order,EVEL CERT AD,Not certified under the English votes for English laws (EVEL) process
Legislative Reform Order,EVEL CERT AD,Not certified under the English votes for English laws (EVEL) process
Enhanced affirmative: Investigatory Powers Act 2016,EVEL CERT AD,Not certified under the English votes for English laws (EVEL) process
Made affirmative,Considered for English votes for English laws (EVEL) certification,EVEL CERT AA
Draft affirmative,Considered for English votes for English laws (EVEL) certification,EVEL CERT AA
Made negative,Considered for English votes for English laws (EVEL) certification,EVEL CERT AA
Draft negative,Considered for English votes for English laws (EVEL) certification,EVEL CERT AA
Draft affirmative remedial order,Considered for English votes for English laws (EVEL) certification,EVEL CERT AA
Made affirmative remedial order,Considered for English votes for English laws (EVEL) certification,EVEL CERT AA
Legislative Reform Order,Considered for English votes for English laws (EVEL) certification,EVEL CERT AA
Enhanced affirmative: Investigatory Powers Act 2016,Considered for English votes for English laws (EVEL) certification,EVEL CERT AA
Made affirmative,EVEL CERT AA,EVEL CERT AA
Draft affirmative,EVEL CERT AA,EVEL CERT AA
Made negative,EVEL CERT AA,EVEL CERT AA
Draft negative,EVEL CERT AA,EVEL CERT AA
Draft affirmative remedial order,EVEL CERT AA,EVEL CERT AA
Made affirmative remedial order,EVEL CERT AA,EVEL CERT AA
Legislative Reform Order,EVEL CERT AA,EVEL CERT AA
Enhanced affirmative: Investigatory Powers Act 2016,EVEL CERT AA,EVEL CERT AA
Made affirmative,EVEL CERT AA,EVEL CERT AA
Draft affirmative,EVEL CERT AA,EVEL CERT AA
Made negative,EVEL CERT AA,EVEL CERT AA
Draft negative,EVEL CERT AA,EVEL CERT AA
Draft affirmative remedial order,EVEL CERT AA,EVEL CERT AA
Made affirmative remedial order,EVEL CERT AA,EVEL CERT AA
Legislative Reform Order,EVEL CERT AA,EVEL CERT AA
Enhanced affirmative: Investigatory Powers Act 2016,EVEL CERT AA,EVEL CERT AA
Made affirmative,EVEL CERT AA,EVEL CERT AA
Draft affirmative,EVEL CERT AA,EVEL CERT AA
Made negative,EVEL CERT AA,EVEL CERT AA
Draft negative,EVEL CERT AA,EVEL CERT AA
Draft affirmative remedial order,EVEL CERT AA,EVEL CERT AA
Made affirmative remedial order,EVEL CERT AA,EVEL CERT AA
Legislative Reform Order,EVEL CERT AA,EVEL CERT AA
Enhanced affirmative: Investigatory Powers Act 2016,EVEL CERT AA,EVEL CERT AA
Made affirmative,EVEL CERT AA,EVEL CERT AB
Draft affirmative,EVEL CERT AA,EVEL CERT AB
Made negative,EVEL CERT AA,EVEL CERT AB
Draft negative,EVEL CERT AA,EVEL CERT AB
Draft affirmative remedial order,EVEL CERT AA,EVEL CERT AB
Made affirmative remedial order,EVEL CERT AA,EVEL CERT AB
Legislative Reform Order,EVEL CERT AA,EVEL CERT AB
Enhanced affirmative: Investigatory Powers Act 2016,EVEL CERT AA,EVEL CERT AB
Made affirmative,EVEL CERT AA,EVEL CERT AC
Draft affirmative,EVEL CERT AA,EVEL CERT AC
Made negative,EVEL CERT AA,EVEL CERT AC
Draft negative,EVEL CERT AA,EVEL CERT AC
Draft affirmative remedial order,EVEL CERT AA,EVEL CERT AC
Made affirmative remedial order,EVEL CERT AA,EVEL CERT AC
Legislative Reform Order,EVEL CERT AA,EVEL CERT AC
Enhanced affirmative: Investigatory Powers Act 2016,EVEL CERT AA,EVEL CERT AC
Made affirmative,EVEL CERT AA,EVEL CERT AD
Draft affirmative,EVEL CERT AA,EVEL CERT AD
Made negative,EVEL CERT AA,EVEL CERT AD
Draft negative,EVEL CERT AA,EVEL CERT AD
Draft affirmative remedial order,EVEL CERT AA,EVEL CERT AD
Made affirmative remedial order,EVEL CERT AA,EVEL CERT AD
Legislative Reform Order,EVEL CERT AA,EVEL CERT AD
Enhanced affirmative: Investigatory Powers Act 2016,EVEL CERT AA,EVEL CERT AD
Made affirmative,EVEL CERT AA,EVEL CERT AA
Draft affirmative,EVEL CERT AA,EVEL CERT AA
Made negative,EVEL CERT AA,EVEL CERT AA
Draft negative,EVEL CERT AA,EVEL CERT AA
Draft affirmative remedial order,EVEL CERT AA,EVEL CERT AA
Made affirmative remedial order,EVEL CERT AA,EVEL CERT AA
Legislative Reform Order,EVEL CERT AA,EVEL CERT AA
Enhanced affirmative: Investigatory Powers Act 2016,EVEL CERT AA,EVEL CERT AA
Made affirmative,Not certified under the English votes for English laws (EVEL) process,EVEL CERT AA
Draft affirmative,Not certified under the English votes for English laws (EVEL) process,EVEL CERT AA
Made negative,Not certified under the English votes for English laws (EVEL) process,EVEL CERT AA
Draft negative,Not certified under the English votes for English laws (EVEL) process,EVEL CERT AA
Draft affirmative remedial order,Not certified under the English votes for English laws (EVEL) process,EVEL CERT AA
Made affirmative remedial order,Not certified under the English votes for English laws (EVEL) process,EVEL CERT AA
Legislative Reform Order,Not certified under the English votes for English laws (EVEL) process,EVEL CERT AA
Enhanced affirmative: Investigatory Powers Act 2016,Not certified under the English votes for English laws (EVEL) process,EVEL CERT AA
Made affirmative,EVEL CERT AB,EVEL CERT AA
Draft affirmative,EVEL CERT AB,EVEL CERT AA
Made negative,EVEL CERT AB,EVEL CERT AA
Draft negative,EVEL CERT AB,EVEL CERT AA
Draft affirmative remedial order,EVEL CERT AB,EVEL CERT AA
Made affirmative remedial order,EVEL CERT AB,EVEL CERT AA
Legislative Reform Order,EVEL CERT AB,EVEL CERT AA
Enhanced affirmative: Investigatory Powers Act 2016,EVEL CERT AB,EVEL CERT AA
Made affirmative,Certified as England only under the English votes for English laws (EVEL) process,EVEL CERT AB
Draft affirmative,Certified as England only under the English votes for English laws (EVEL) process,EVEL CERT AB
Made negative,Certified as England only under the English votes for English laws (EVEL) process,EVEL CERT AB
Draft negative,Certified as England only under the English votes for English laws (EVEL) process,EVEL CERT AB
Draft affirmative remedial order,Certified as England only under the English votes for English laws (EVEL) process,EVEL CERT AB
Made affirmative remedial order,Certified as England only under the English votes for English laws (EVEL) process,EVEL CERT AB
Legislative Reform Order,Certified as England only under the English votes for English laws (EVEL) process,EVEL CERT AB
Enhanced affirmative: Investigatory Powers Act 2016,Certified as England only under the English votes for English laws (EVEL) process,EVEL CERT AB
Made affirmative,EVEL CERT AC,EVEL CERT AB
Draft affirmative,EVEL CERT AC,EVEL CERT AB
Made negative,EVEL CERT AC,EVEL CERT AB
Draft negative,EVEL CERT AC,EVEL CERT AB
Draft affirmative remedial order,EVEL CERT AC,EVEL CERT AB
Made affirmative remedial order,EVEL CERT AC,EVEL CERT AB
Legislative Reform Order,EVEL CERT AC,EVEL CERT AB
Enhanced affirmative: Investigatory Powers Act 2016,EVEL CERT AC,EVEL CERT AB
Made affirmative,Certified as England and Wales only under the English votes for English laws (EVEL) process,EVEL CERT AC
Draft affirmative,Certified as England and Wales only under the English votes for English laws (EVEL) process,EVEL CERT AC
Made negative,Certified as England and Wales only under the English votes for English laws (EVEL) process,EVEL CERT AC
Draft negative,Certified as England and Wales only under the English votes for English laws (EVEL) process,EVEL CERT AC
Draft affirmative remedial order,Certified as England and Wales only under the English votes for English laws (EVEL) process,EVEL CERT AC
Made affirmative remedial order,Certified as England and Wales only under the English votes for English laws (EVEL) process,EVEL CERT AC
Legislative Reform Order,Certified as England and Wales only under the English votes for English laws (EVEL) process,EVEL CERT AC
Enhanced affirmative: Investigatory Powers Act 2016,Certified as England and Wales only under the English votes for English laws (EVEL) process,EVEL CERT AC
Made affirmative,"Certified as England, Wales and Northern Ireland only under the English votes for English laws (EVEL) process",EVEL CERT AC
Draft affirmative,"Certified as England, Wales and Northern Ireland only under the English votes for English laws (EVEL) process",EVEL CERT AC
Made negative,"Certified as England, Wales and Northern Ireland only under the English votes for English laws (EVEL) process",EVEL CERT AC
Draft negative,"Certified as England, Wales and Northern Ireland only under the English votes for English laws (EVEL) process",EVEL CERT AC
Draft affirmative remedial order,"Certified as England, Wales and Northern Ireland only under the English votes for English laws (EVEL) process",EVEL CERT AC
Made affirmative remedial order,"Certified as England, Wales and Northern Ireland only under the English votes for English laws (EVEL) process",EVEL CERT AC
Legislative Reform Order,"Certified as England, Wales and Northern Ireland only under the English votes for English laws (EVEL) process",EVEL CERT AC
Enhanced affirmative: Investigatory Powers Act 2016,"Certified as England, Wales and Northern Ireland only under the English votes for English laws (EVEL) process",EVEL CERT AC
Made affirmative,Considered by the Secondary Legislation Scrutiny Committee (SLSC),SLSC AA
Draft affirmative,Considered by the Secondary Legislation Scrutiny Committee (SLSC),SLSC AA
Made negative,Considered by the Secondary Legislation Scrutiny Committee (SLSC),SLSC AA
Draft negative,Considered by the Secondary Legislation Scrutiny Committee (SLSC),SLSC AA
Enhanced affirmative: Investigatory Powers Act 2016,Considered by the Secondary Legislation Scrutiny Committee (SLSC),SLSC AA
Made affirmative,SLSC AA,SLSC AA
Draft affirmative,SLSC AA,SLSC AA
Made negative,SLSC AA,SLSC AA
Draft negative,SLSC AA,SLSC AA
Enhanced affirmative: Investigatory Powers Act 2016,SLSC AA,SLSC AA
Made affirmative,SLSC AA,Drawn to the special attention of the House by the Secondary Legislation Scrutiny Committee (SLSC)
Draft affirmative,SLSC AA,Drawn to the special attention of the House by the Secondary Legislation Scrutiny Committee (SLSC)
Made negative,SLSC AA,Drawn to the special attention of the House by the Secondary Legislation Scrutiny Committee (SLSC)
Draft negative,SLSC AA,Drawn to the special attention of the House by the Secondary Legislation Scrutiny Committee (SLSC)
Enhanced affirmative: Investigatory Powers Act 2016,SLSC AA,Drawn to the special attention of the House by the Secondary Legislation Scrutiny Committee (SLSC)
Made affirmative,Drawn to the special attention of the House by the Secondary Legislation Scrutiny Committee (SLSC),SLSC AA
Draft affirmative,Drawn to the special attention of the House by the Secondary Legislation Scrutiny Committee (SLSC),SLSC AA
Made negative,Drawn to the special attention of the House by the Secondary Legislation Scrutiny Committee (SLSC),SLSC AA
Draft negative,Drawn to the special attention of the House by the Secondary Legislation Scrutiny Committee (SLSC),SLSC AA
Enhanced affirmative: Investigatory Powers Act 2016,Drawn to the special attention of the House by the Secondary Legislation Scrutiny Committee (SLSC),SLSC AA
Made affirmative,SLSC AA,SLSC AA
Draft affirmative,SLSC AA,SLSC AA
Made negative,SLSC AA,SLSC AA
Draft negative,SLSC AA,SLSC AA
Enhanced affirmative: Investigatory Powers Act 2016,SLSC AA,SLSC AA
Made affirmative,SLSC AA,SLSC AB
Draft affirmative,SLSC AA,SLSC AB
Made negative,SLSC AA,SLSC AB
Draft negative,SLSC AA,SLSC AB
