route_id,route_triplestore_id,from_step_name,to_step_name,procedure_count,procedures
10682,AZ71ttYT,ALM AB,JCSISR AA,2,Draft affirmative | Enhanced affirmative: Investigatory Powers Act 2016
13763,wBxt86Je,Motion that Standing Order 73 be dispensed with to enable motion to approve to be moved withdrawn,MA JCSISR AA,2,Made affirmative | Made affirmative: Joint Committee on Statutory Instruments (JCSI) Scrutiny Reserve
13764,UAjiAmQW,MA JCSISR AA,MA JCSISR AA,2,Made affirmative | Made affirmative: Joint Committee on Statutory Instruments (JCSI) Scrutiny Reserve
13765,IBP25DbW,MA JCSISR AC,Motion that Standing Order 73 be dispensed with to enable motion to approve to be moved lapsed at end of session,2,Made affirmative | Made affirmative: Joint Committee on Statutory Instruments (JCSI) Scrutiny Reserve
13766,NqLPkPPK,Motion that Standing Order 73 be dispensed with to enable motion to approve to be moved lapsed at end of session,MA JCSISR AB,2,Made affirmative | Made affirmative: Joint Committee on Statutory Instruments (JCSI) Scrutiny Reserve
13767,LPdL4oAr,MA JCSISR AB,MA JCSISR AA,2,Made affirmative | Made affirmative: Joint Committee on Statutory Instruments (JCSI) Scrutiny Reserve
13768,0kw9zqR3,MA JCSISR AD,Motion that Standing Order 73 be dispensed with to enable motion to approve to be moved not moved,2,Made affirmative | Made affirmative: Joint Committee on Statutory Instruments (JCSI) Scrutiny Reserve
13769,2LrOvJz4,Motion that Standing Order 73 be dispensed with to enable motion to approve to be moved not moved,MA JCSISR AC,2,Made affirmative | Made affirmative: Joint Committee on Statutory Instruments (JCSI) Scrutiny Reserve
13770,DfqGk2XB,MA JCSISR AC,MA JCSISR AB,2,Made affirmative | Made affirmative: Joint Committee on Statutory Instruments (JCSI) Scrutiny Reserve
13771,OhnVUoiV,MA JCSISR AE,Motion that Standing Order 73 be dispensed with to enable motion to approve to be moved not called,2,Made affirmative | Made affirmative: Joint Committee on Statutory Instruments (JCSI) Scrutiny Reserve
13772,QPnvI5Zc,Motion that Standing Order 73 be dispensed with to enable motion to approve to be moved not called,MA JCSISR AD,2,Made affirmative | Made affirmative: Joint Committee on Statutory Instruments (JCSI) Scrutiny Reserve
13773,pzmLi0Xc,MA JCSISR AD,MA JCSISR AC,2,Made affirmative | Made affirmative: Joint Committee on Statutory Instruments (JCSI) Scrutiny Reserve
13774,yQNKTXvW,Question on motion that Standing Order 73 be dispensed with to enable motion to approve to be moved put,MA JCSISR AD,2,Made affirmative | Made affirmative: Joint Committee on Statutory Instruments (JCSI) Scrutiny Reserve
13775,Xyk6Q2aU,MA JCSISR AF,Question on motion that Standing Order 73 be dispensed with to enable motion to approve to be moved put,2,Made affirmative | Made affirmative: Joint Committee on Statutory Instruments (JCSI) Scrutiny Reserve
13776,ma0mMmnC,Question on motion that Standing Order 73 be dispensed with to enable motion to approve to be moved put,MA JCSISR AB,2,Made affirmative | Made affirmative: Joint Committee on Statutory Instruments (JCSI) Scrutiny Reserve
13777,QMkagdWM,MA JCSISR AB,MA JCSISR AE,2,Made affirmative | Made affirmative: Joint Committee on Statutory Instruments (JCSI) Scrutiny Reserve
13778,tp39uLe8,MA JCSISR AE,MA JCSISR AB,2,Made affirmative | Made affirmative: Joint Committee on Statutory Instruments (JCSI) Scrutiny Reserve
13779,WyVZ3CS3,MA JCSISR AB,MA JCSISR AG,2,Made affirmative | Made affirmative: Joint Committee on Statutory Instruments (JCSI) Scrutiny Reserve
13780,dF2ngDyK,MA JCSISR AB,MA JCSISR AH,2,Made affirmative | Made affirmative: Joint Committee on Statutory Instruments (JCSI) Scrutiny Reserve
13781,wGcQYcwd,MA JCSISR AG,Motion that Standing Order 73 be dispensed with to enable motion to approve to be moved agreed to,2,Made affirmative | Made affirmative: Joint Committee on Statutory Instruments (JCSI) Scrutiny Reserve
13782,h8KsIyv2,Motion that Standing Order 73 be dispensed with to enable motion to approve to be moved agreed to,MA JCSISR AA,2,Made affirmative | Made affirmative: Joint Committee on Statutory Instruments (JCSI) Scrutiny Reserve
13783,s2C8Eexa,MA JCSISR AA,MA JCSISR AC,2,Made affirmative | Made affirmative: Joint Committee on Statutory Instruments (JCSI) Scrutiny Reserve
13784,nWMX5Ogx,Motion that Standing Order 73 be dispensed with to enable motion to approve to be moved agreed to,MA JCSISR AE,2,Made affirmative | Made affirmative: Joint Committee on Statutory Instruments (JCSI) Scrutiny Reserve
13785,nbjEsYjT,MA JCSISR AE,MA JCSISR AB,2,Made affirmative | Made affirmative: Joint Committee on Statutory Instruments (JCSI) Scrutiny Reserve
13786,yzwOZYaf,MA JCSISR AH,Motion that Standing Order 73 be dispensed with to enable motion to approve to be moved disagreed to,2,Made affirmative | Made affirmative: Joint Committee on Statutory Instruments (JCSI) Scrutiny Reserve
13787,uTnfkYeQ,Motion that Standing Order 73 be dispensed with to enable motion to approve to be moved disagreed to,MA JCSISR AE,2,Made affirmative | Made affirmative: Joint Committee on Statutory Instruments (JCSI) Scrutiny Reserve
