id,label,name,description,hassteptype,businessstepinhouse,businessstepinlegislature,memberof,actualisationnote,linknote,datenote,actualisedalongside,source,triplestoreid
1293,Government response to the decision made by the European Affairs Committee (EAC) (House of Lords),Government response to the decision made by the European Affairs Committee (EAC),"The Government has undertaken to respond to most European Affairs Committee reports within two months, although there are exceptions to this rule and there is no obligation for the Government to respond. ",1,2,,4,"There is no requirement for Government to respond to a committee report but they still could. This will be published by the committee as correspondence, their government response webpage should be checked regularly. ",Html but pdf if no html is available,Date of correspondence ,,1021,EvEnfCDG
1361,Reasoned amendment on second reading motion approved (House of Commons),Reasoned amendment on second reading motion approved,A Member who wishes to place on record any special reasons for not agreeing to the second reading of a bill may move what is known as a ‘reasoned amendment’ to the question for the second reading. If the reasoned amendment is approved it is fatal to the Bill. ,1,1,,,,,,,,WQqzA4kl
2328,Ministerial statement summarising representations on the draft order (House of Lords),Ministerial statement summarising representations on the draft order,"At the end of the 60-day period of a super-affirmative legislative reform order, the minister must make a statement summarising any representations made during the 60 days. ",1,2,,4,This could appear either as a written statement in both Houses or as a ministerial statement in the Chamber (repeated in the other House). ,Written statement html or Hansard if a ministerial statement in the Chamber. ,Date statement made ,,,YHqZx7h9
1314,Call for evidence opened by the European Affairs Committee (EAC) (House of Lords),Call for evidence opened by the European Affairs Committee (EAC),Select committee choose topics to investigate and then make recommendations for improvement. As part of this they collect evidence from interested parties to help them understand what's happening and what changes might be needed. Evidence can be in the form of written or oral evidence. ,1,2,,4,"European Affairs Committee (EAC) can open a call for evidence into a treaty at any point after it has laid, and in a few rare cases before it is laid. Please check the Committee's non-scrutiny page regularly for updates.",Call for evidence webpage,Date specified on the committee's non-scrutiny page ,,1022,UAu804s6
1321,European Affairs Committee (EAC) inquiry opened (House of Lords),European Affairs Committee (EAC) inquiry opened,The European Affairs Committee (EAC) can open an inquiry into a treaty at any stage after it has been laid or in some rare cases before it is laid,1,2,,4,The European Affairs Committee (EAC) can open an inquiry into a treaty at any stage after it has been laid or in some rare cases before it is laid. Please check the committee page regularly for any new inquiries.,Inquiry page,Check the date on the committee inquiry list page ,,1023,vEbtdmqL
1322,Written statement invoking the urgent procedure set out in Paragraph 14(6) of Schedule 8 of the European Union (Withdrawal) Act 2018 (House of Lords),Written statement invoking the urgent procedure set out in Paragraph 14(6) of Schedule 8 of the European Union (Withdrawal) Act 2018,Paragraph 14 of Schedule 8 of the EU Withdrawal Act 2018 sets out an enhanced procedure whereby a published draft of an instrument must be published 28 days before the instrument is laid before Parliament. Under (6) there is an allowance for Government to bypass this procedure for urgency and lay an instrument. They must provide a written statement to Parliament to inform them of why they have bypassed the procedure.,1,2,,4,The written statement will appear on the day of laying. It will appear in the House of Commons and duplicated in the House of Lords.,Parliament written statement url,Date of written statement,,1024,GbddIs2M
1324,International Agreements Committee (IAC) called for a debate on the treaty (House of Lords),International Agreements Committee (IAC) called for a debate on the treaty,"The International Agreements Committee report treaties under two headings: those to which special attention is drawn, and treaties reported for information only. In addition to either of these two decisions the Committee can also recommend a debate take place in the House of Lords. ",1,2,,"5, 4, 4",The IAC can call for a debate on any treaty regardless of whether it's reported or drawn to the special attention. In order to find the decision you can either check the conclusion of the report or use Ctrl+F and search for the word Debate.,Use the anchor link closest to the call for the debate,"Date the committee met, not the date the report was published. ",545,1112,zkVd8rEg
1325,European Affairs Committee (EAC) called for a debate on the treaty (House of Lords),European Affairs Committee (EAC) called for a debate on the treaty,"The European Affairs Committee report treaties under two headings: those to which special attention is drawn, and treaties reported for information only. In addition to either of these two decisions the Committee can also recommend a debate take place in the House of Lords. ",1,2,,5,The EAC can call for a debate on any treaty regardless of whether it's reported or drawn to the special attention. In order to find the decision you can either check the conclusion of the report or use Ctrl+F and search for the word Debate.,Use the anchor link closest to the call for the debate,"Date the committee met, not the date the report was published. ",1290,1113,wB3vSppg
1352,Bill presented (House of Commons),Bill presented,,1,1,,11,,,,,,ITNO9JWr
1362,Question put that the bill be now read a third time (House of Commons),Question put that the bill be now read a third time,"When debate on third reading has concluded, or when the time available for debate under the terms of a programme order has been exhausted, the Speaker puts the question already proposed from the Chair. If the question is on an amendment to the question ‘That the bill be now read the third time’, and it is decided that the word ‘now’ stands part of the question, the Speaker declares forthwith that the bill has been read the third time. If the question is on an amendment to leave out all the words after ‘That’ and insert other words, and that is negatived, the Speaker puts the main question forthwith.",1,1,,,,,,,,MvcJfb4e
1378,Bill presented (House of Lords),Bill presented,,1,2,,,,,,,,otscOTzB
1399,Motion for leave to bring in a bill moved (House of Commons),Motion for leave to bring in a bill moved,,1,1,,,,,,,,5NwGR7zN
1400,Explanatory statement in support of motion for leave (House of Commons),Explanatory statement in support of motion for leave,,1,1,,,,,,,,Mw0yBToo
1401,Statement in opposition to motion for leave (House of Commons),Statement in opposition to motion for leave,,1,1,,,,,,,,Mt6zwSCV
1402,Question on motion for leave put (House of Commons),Question on motion for leave put,,1,1,,,,,,,,eIm8DpZQ
1403,Motion for leave opposed (House of Commons),Motion for leave opposed,,1,1,,,,,,,,mofqtTBL
1405,Proposal for a draft remedial order created,Proposal for a draft remedial order created,"Remedial orders are a type of statutory instrument. Under the Human Rights Act 1998, courts can declare Acts of Parliament incompatible with the European convention on human rights. The Government can use remedial orders to amend Acts to remove the incompatibility. A minister formally presents (or ‘lays’) a proposal for a draft remedial order. Parliament has 60 days to consider the proposal.",1,,,1,All proposed draft remedial orders  need this step - it kicks off procedure,Link to the proposed draft remedial on gov.uk,Date of laying. ,,1027,My26wbBo
1406,Proposal for a draft remedial order withdrawn from the House of Commons (House of Commons),Proposal for a draft remedial order withdrawn from the House of Commons,Government has withdrawn the proposed draft remedial order from the House of Commons and therefore procedure has concluded.,1,1,,4,Instrument must be withdrawn from both Houses if bicameral and this will also result in the procedure concluding. ,Vote anchor link,Date of Vote or otherwise specified in Vote. ,,1226,B1k6oajV
1441,Bill effects recommendations from either Law Commission,Bill effects recommendations from either Law Commission,,1,,,,,,,,,JgXmEEmC
1445,Deferred decision on motion to approve the instrument cancelled (House of Commons),Deferred decision on motion to approve the instrument cancelled,"After the moment of interruption (the time at which the main business must usually finish), any division is deferred until the following Wednesday. Upon discussions with the House of Commons Journal Office, a deferred division may be cancelled by Government. ",1,1,,4,"Will usually appear in the Vote, under Other Proceedings, along the lines of ""Deferred division scheduled for Wednesday 17 November cancelled"" ",V&P anchor link,Date of the Vote,,1042,g02iPxPY
1472,European Union Committee called for a debate on the treaty (House of Lords),European Union Committee called for a debate on the treaty,"The European Union Committee report treaties under two headings: those to which special attention is drawn, and treaties reported for information only. In addition to either of these two decisions the Committee can also recommend a debate take place in the House of Lords. ",1,2,,"5, 4",The committee can call for a debate on any treaty regardless of whether it's reported or drawn to the special attention. In order to find the decision you can either check the conclusion of the report or use Ctrl+F and search for the word Debate.,Use the anchor link closest to the call for the debate,"Date the committee met, not the date the report was published. ",202,1121,0RPKT1We
1587,Legislative consent motion lodged (Scottish Parliament),Legislative consent motion lodged,,1,,2,,,,,,,NNTD4geC
1588,Legislative consent motion withdrawn (Scottish Parliament),Legislative consent motion withdrawn,,1,,2,,,,,,,L450psOA
1589,Legislative consent motion falls at dissolution (Scottish Parliament),Legislative consent motion falls at dissolution,,1,,2,,,,,,,ycX9KS50
1590,Legislative consent motion not moved (Scottish Parliament),Legislative consent motion not moved,,1,,2,,,,,,,MGv4Abnv
1591,Legislative consent motion not called (Scottish Parliament),Legislative consent motion not called,,1,,2,,,,,,,yYnIIhre
1592,Question put on legislative consent motion (Scottish Parliament),Question put on legislative consent motion,,1,,2,,,,,,,hDX0ASjt
1593,Legislative consent not granted (Scottish Parliament),Legislative consent not granted,,1,,2,,,,,,,wJYMVKuc
1594,Legislative consent granted (Scottish Parliament),Legislative consent granted,,1,,2,,,,,,,edkp5cd4
1595,Debate on legislative consent motion (Scottish Parliament),Debate on legislative consent motion,,1,,2,,,,,,,pGfIGYdw
1596,Bill provides relevant delegated powers (Scottish Parliament),Bill provides relevant delegated powers,,1,,2,,,,,,,UoOY0Oie
1597,Considered by the Delegated Powers and Law Reform Committee (Scottish Parliament),Considered by the Delegated Powers and Law Reform Committee,,1,,2,,,,,,,5RXUIyIk
1598,Fatal amendment to legislative consent motion lodged (Scottish Parliament),Fatal amendment to legislative consent motion lodged,,1,,2,,,,,,,o6VnqYqu
1599,Fatal amendment to legislative consent motion withdrawn (Scottish Parliament),Fatal amendment to legislative consent motion withdrawn,,1,,2,,,,,,,hQ3ZuWov
1600,Fatal amendment to legislative consent motion falls at dissolution (Scottish Parliament),Fatal amendment to legislative consent motion falls at dissolution,,1,,2,,,,,,,hSj4f7Us
1601,Fatal amendment to legislative consent motion not moved (Scottish Parliament),Fatal amendment to legislative consent motion not moved,,1,,2,,,,,,,SfkTos1F
1602,Fatal amendment to legislative consent motion not called (Scottish Parliament),Fatal amendment to legislative consent motion not called,,1,,2,,,,,,,FdB5rZGb
2635,Question put on fatal amendment to legislative consent motion (Northern Ireland Assembly),Question put on fatal amendment to legislative consent motion,,1,,4,,,,,,,vqprT2Fc
1612,"Minister recommended the instrument follow the negative procedure (House of Commons, House of Lords)",Minister recommended the instrument follow the negative procedure,"The way legislative reform orders are scrutinised is not fixed. When ministers lay a draft legislative reform order, they propose what level of scrutiny it should face. Under the negative procedure, the legislative reform order is presented in draft and is made unless either House objects to it within 40 days.",1,"1, 2",,4,This will be part of the laying letter and the explanatory memorandum. It will be obvious to us which procedure has been recommended by what title it falls under Papers Laid in the Vote. ,Explanatory memorandum of the SI on leg.gov.uk,Date of laying,,1528,0eRI59ix
1613,Minister recommended the instrument follow the affirmative procedure,Minister recommended the instrument follow the affirmative procedure,"The way legislative reform orders are scrutinised is not fixed. When ministers lay a draft legislative reform order, they propose what level of scrutiny it should face. Under the affirmative procedure, both Houses have 40 days to consider the draft order and then have to actively approve it before it’s made.",1,,,4,This will be part of the laying letter and the explanatory memorandum. It will be obvious to us which procedure has been recommended by what title it falls under Papers Laid in the Vote. ,Explanatory memorandum of the SI on leg.gov.uk,Date of laying,,1529,o4e5B7ry
1614,"Minister recommended the instrument follow the super-affirmative procedure (House of Commons, House of Lords)",Minister recommended the instrument follow the super-affirmative procedure,"The way legislative reform orders are scrutinised is not fixed. When ministers lay a draft legislative reform order, they propose what level of scrutiny it should face. Under the super-affirmative procedure, both Houses have 60 days to consider a proposal for an order. They can recommend changes to the proposed order. The minister has to have regard to these representations and can then decide whether to proceed with the order in the same or an amended form, and lay it as a draft order. This draft order then has to be approved before it can be signed into law by the minister.",1,"1, 2",,4,This will be part of the laying letter and the explanatory memorandum. It will be obvious to us which procedure has been recommended by what title it falls under Papers Laid in the Vote. ,Explanatory memorandum of the SI on leg.gov.uk,Date of laying,,1530,nAGnT4bh
2637,Fatal amendment to legislative consent motion not agreed to (Northern Ireland Assembly),Fatal amendment to legislative consent motion not agreed to,,1,,4,,,,,,,nvEY2EsP
1615,Procedure considered by the Delegated Powers and Regulatory Reform Committee (DPRRC) (House of Lords),Procedure considered by the Delegated Powers and Regulatory Reform Committee (DPRRC),The Delegated Powers and Regulatory Reform Committee examines all legislative reform orders. It considers whether the minister has recommended the appropriate level of scrutiny and can require a higher level. It has 30 days to do this. ,1,2,,,The DPRRC meets on an adhoc basis so we should be keeping an eye on the Vote for any reports. ,Html version of report ,"Date the committee met, not the date the report was published","1617, 1618, 1619, 1620, 2280",1200,Nu3GO7Ze
1616,Government response to the procedure recommendation by the Delegated Powers and Regulatory Reform Committee (DPRRC) (House of Lords),Government response to the procedure recommendation by the Delegated Powers and Regulatory Reform Committee (DPRRC),"The Government has undertaken to respond to most Delegated Powers and Regulatory Reform Committee reports, although there are exceptions to this rule and there is no obligation for the Government to respond.",1,2,,4,"There is no requirement for Government to respond to a committee report but they still could. This will be published by the committee as correspondence, their government response webpage should be checked regularly. ",Html but pdf if no html is available,Date of correspondence ,,1578,ONlB6rnZ
2638,Valid petition of concern on a nonfatal amendment to legislative consent motion presented (Northern Ireland Assembly),Valid petition of concern on a nonfatal amendment to legislative consent motion presented,,1,,4,,,,,,,dSpMQWnd
1617,Delegated Powers and Regulatory Reform Committee (DPRRC) agreed the instrument should follow the negative procedure (House of Lords),Delegated Powers and Regulatory Reform Committee (DPRRC) agreed the instrument should follow the negative procedure,The Delegated Powers and Regulatory Reform Committee examines all legislative reform orders. It considers whether the minister has recommended the appropriate level of scrutiny and can require a higher level. It has 30 days to do this. ,1,2,,4,The DPRRC meets on an adhoc basis so we should be keeping an eye on the Vote for any reports. ,Html version of report ,"Date the committee met, not the date the report was published",1615,1501,8FkB4d7l
1618,Delegated Powers and Regulatory Reform Committee (DPRRC) agreed the instrument should follow the affirmative procedure (House of Lords),Delegated Powers and Regulatory Reform Committee (DPRRC) agreed the instrument should follow the affirmative procedure,The Delegated Powers and Regulatory Reform Committee examines all legislative reform orders. It considers whether the minister has recommended the appropriate level of scrutiny and can require a higher level. It has 30 days to do this. ,1,2,,4,The DPRRC meets on an adhoc basis so we should be keeping an eye on the Vote for any reports. ,Html version of report ,"Date the committee met, not the date the report was published",1615,1502,ZChOtvxP
1619,Delegated Powers and Regulatory Reform Committee (DPRRC) recommended the instrument should be upgraded to the affirmative procedure (House of Lords),Delegated Powers and Regulatory Reform Committee (DPRRC) recommended the instrument should be upgraded to the affirmative procedure,The Delegated Powers and Regulatory Reform Committee examines all legislative reform orders. It considers whether the minister has recommended the appropriate level of scrutiny and can require a higher level. It has 30 days to do this. ,1,2,,"5, 4",The DPRRC meets on an adhoc basis so we should be keeping an eye on the Vote for any reports. ,Html version of report ,"Date the committee met, not the date the report was published",1615,1610,I9V1Ukm4
1620,Delegated Powers and Regulatory Reform Committee (DPRRC) recommended the instrument should be upgraded to the super-affirmative procedure (House of Lords),Delegated Powers and Regulatory Reform Committee (DPRRC) recommended the instrument should be upgraded to the super-affirmative procedure,The Delegated Powers and Regulatory Reform Committee examines all legislative reform orders. It considers whether the minister has recommended the appropriate level of scrutiny and can require a higher level. It has 30 days to do this. ,1,2,,"5, 4",The DPRRC meets on an adhoc basis so we should be keeping an eye on the Vote for any reports. ,Html version of report ,"Date the committee met, not the date the report was published",1615,1611,PPZe0Dp2
2639,Petition on a nonfatal amendment to legislative consent motion consideration clock ends (Northern Ireland Assembly),Petition on a nonfatal amendment to legislative consent motion consideration clock ends,,1,,4,,,,,,,LbhMZCEB
1622,Motion to disagree with the procedure recommendation by the Delegated Powers and Regulatory Reform Committee (DPRRC) withdrawn (House of Lords),Motion to disagree with the procedure recommendation by the Delegated Powers and Regulatory Reform Committee (DPRRC) withdrawn,"The Delegated Powers and Regulatory Reform Committee examines all legislative reform orders. It considers whether the minister has recommended the appropriate level of scrutiny and can require a higher level. It has 30 days to do this. The Government, or member, can table a motion to disagree with the recommendation. Motions can be withdrawn at any point between tabling and the question being put. ",1,2,,4,This may be in the Lords Motions Relating to Delegated Legislation section of Lords Business by way of omission when it previously existed. If a motion is withdrawn after debate then the Lords Minute will be the source. ,No link? Or link to Lords Minute if the motion was withdrawn after debate. ,Date withdrawn,,1220,jUQtS1sm
1623,Motion to disagree with the procedure recommendation by the Delegated Powers and Regulatory Reform Committee (DPRRC) lapsed at end of session (House of Lords),Motion to disagree with the procedure recommendation by the Delegated Powers and Regulatory Reform Committee (DPRRC) lapsed at end of session,"The Delegated Powers and Regulatory Reform Committee examines all legislative reform orders. It considers whether the minister has recommended the appropriate level of scrutiny and can require a higher level. It has 30 days to do this. The Government, or member, can table a motion to disagree with the recommendation. Motions lapse at the end of the session if they are still on the table. ",1,2,,4,All motions lapse at the end of session. ,Lords Minute or if Parliament is dissolved then the proclamation that appears in the Gazette. ,Date the session ends,,,hvLMSMfX
1624,Motion to disagree with the procedure recommendation by the Delegated Powers and Regulatory Reform Committee (DPRRC) not moved (House of Lords),Motion to disagree with the procedure recommendation by the Delegated Powers and Regulatory Reform Committee (DPRRC) not moved,"The Delegated Powers and Regulatory Reform Committee examines all legislative reform orders. It considers whether the minister has recommended the appropriate level of scrutiny and can require a higher level. It has 30 days to do this. The Government, or member, can table a motion to disagree with the recommendation. Members or Government can choose not to move a motion before or after debate. ",1,2,,4,"Usually occurs at the end of a debate considering several motions in one, the first will be decided while the others, where necessary, not moved",Hansard anchor link,Date the motion was not moved,,1221,43TlwgOM
1629,House resolved in favour of committee procedure recommendation (House of Lords),House resolved in favour of committee procedure recommendation,"The Delegated Powers and Regulatory Reform Committee examines all legislative reform orders. It considers whether the minister has recommended the appropriate level of scrutiny and can require a higher level. It has 30 days to do this. The Government, or member, can table a motion to disagree with the recommendation. If the House resolves in favour of the committee then the procedure is upgraded in line with their recommendation. ",1,2,,,Following a debate there may be a question put to the House.,Lords Minute anchor link,Date of decision,1627,1553,2VS7ehJe
1695,Procedure considered by the Regulatory Reform Committee (RRC) (House of Commons),Procedure considered by the Regulatory Reform Committee (RRC),"The Regulatory Reform Committee examined all legislative reform orders between 2007 and May 2021 when the committee ceased to exist and its remit passed to the Business, Energy and Industrial Strategy Committee. It considered whether the minister has recommended the appropriate level of scrutiny and can require a higher level. It had 30 days to do this. ",1,1,,,"The Regulatory Reform Committee meets on an adhoc basis so we should be keeping an eye on the Vote for any reports. Note that since 2021, the Committee has been dissolved and its remit transferred to the Business, Energy and Industrial Strategy Committee",Html version of report ,"Date the committee met, not the date the report was published",1695,1212,VQrjUgIt
2641,Non-fatal amendment to legislative consent motion tabled (Northern Ireland Assembly),Non-fatal amendment to legislative consent motion tabled,,1,,4,,,,,,,EnA3u6Pc
1700,Regulatory Reform Committee (RRC) recommended the instrument should be upgraded to the affirmative procedure (House of Commons),Regulatory Reform Committee (RRC) recommended the instrument should be upgraded to the affirmative procedure,"The Regulatory Reform Committee examined all legislative reform orders between 2007 and May 2021 when the committee ceased to exist and its remit passed to the Business, Energy and Industrial Strategy Committee. It considered whether the minister has recommended the appropriate level of scrutiny and can require a higher level. It had 30 days to do this. ",1,1,,"5, 4","The Regulatory Reform Committee meets on an adhoc basis so we should be keeping an eye on the Vote for any reports. Note that since 2021, the Committee has been dissolved and its remit transferred to the Business, Energy and Industrial Strategy Committee",Html version of report ,"Date the committee met, not the date the report was published",1695,1612,LpshymoJ
1701,Regulatory Reform Committee (RRC) recommended the instrument should be upgraded to the super-affirmative procedure (House of Commons),Regulatory Reform Committee (RRC) recommended the instrument should be upgraded to the super-affirmative procedure,"The Regulatory Reform Committee examined all legislative reform orders between 2007 and May 2021 when the committee ceased to exist and its remit passed to the Business, Energy and Industrial Strategy Committee. It considered whether the minister has recommended the appropriate level of scrutiny and can require a higher level. It had 30 days to do this. ",1,1,,"5, 4","The Regulatory Reform Committee meets on an adhoc basis so we should be keeping an eye on the Vote for any reports. Note that since 2021, the Committee has been dissolved and its remit transferred to the Business, Energy and Industrial Strategy Committee",Html version of report ,"Date the committee met, not the date the report was published",1695,1613,de7jQOgb
1702,"Procedure considered by the Business, Energy and Industrial Strategy Committee (House of Commons)","Procedure considered by the Business, Energy and Industrial Strategy Committee","The Business, Energy and Industrial Strategy Committee examined all legislative reform orders between May 2021 and April 2023 when the committee ceased to exist and its remit passed to the Business and Trade Committee. It considered whether the minister has recommended the appropriate level of scrutiny and can require a higher level. It had 30 days to do this. ",1,1,,,The BEIS Committee meets on an adhoc basis so we should be keeping an eye on the Vote for any reports. ,Html version of report ,"Date the committee met, not the date the report was published","1704, 1705, 1706, 1707, 1708",1278,qm6wMWYO
1703,"Government response to the procedure recommendation by the Business, Energy and Industrial Strategy Committee (House of Commons)","Government response to the procedure recommendation by the Business, Energy and Industrial Strategy Committee",The Government are expected to reply to the recommendations in a select committee report within two months of publication.,1,1,,4,Government responses will either be published as a special report by the select committee itself or laid as a command paper. ,If a command paper link to the page on gov.uk. If a special report by the select committee link to the html version.,If a command paper use date of laying. If a special report by the select committee use date of the V&P. ,,,36cmtIIG
2643,Non-fatal amendment to legislative consent motion lapses at end of mandate (Northern Ireland Assembly),Non-fatal amendment to legislative consent motion lapses at end of mandate,,1,,4,,,,,,,3wOz25oM
1704,"Business, Energy and Industrial Strategy Committee agreed the instrument should follow the negative procedure (House of Commons)","Business, Energy and Industrial Strategy Committee agreed the instrument should follow the negative procedure","The Business, Energy and Industrial Strategy Committee examines all legislative reform orders. It considers whether the minister has recommended the appropriate level of scrutiny and can require a higher level. It has 30 days to do this. ",1,1,,4,The BEIS Committee meets on an adhoc basis so we should be keeping an eye on the Vote for any reports. ,Html version of report ,"Date the committee met, not the date the report was published",1702,1514,aJBMczJu
1705,"Business, Energy and Industrial Strategy Committee agreed the instrument should follow the affirmative procedure (House of Commons)","Business, Energy and Industrial Strategy Committee agreed the instrument should follow the affirmative procedure","The Business, Energy and Industrial Strategy Committee examines all legislative reform orders. It considers whether the minister has recommended the appropriate level of scrutiny and can require a higher level. It has 30 days to do this. ",1,1,,4,The BEIS Committee meets on an adhoc basis so we should be keeping an eye on the Vote for any reports. ,Html version of report ,"Date the committee met, not the date the report was published",1702,1515,XlNZOhji
1706,"Business, Energy and Industrial Strategy Committee agreed the instrument should follow the super-affirmative procedure (House of Commons)","Business, Energy and Industrial Strategy Committee agreed the instrument should follow the super-affirmative procedure","The Business, Energy and Industrial Strategy Committee examines all legislative reform orders. It considers whether the minister has recommended the appropriate level of scrutiny and can require a higher level. It has 30 days to do this. ",1,1,,4,The BEIS Committee meets on an adhoc basis so we should be keeping an eye on the Vote for any report,Html version of report ,"Date the committee met, not the date the report was published",1702,1516,xLnGfws2
1707,"Business, Energy and Industrial Strategy Committee recommended the instrument should be upgraded to the affirmative procedure (House of Commons)","Business, Energy and Industrial Strategy Committee recommended the instrument should be upgraded to the affirmative procedure","The Business, Energy and Industrial Strategy Committee examines all legislative reform orders. It considers whether the minister has recommended the appropriate level of scrutiny and can require a higher level. It has 30 days to do this. ",1,1,,"5, 4",The BEIS Committee meets on an adhoc basis so we should be keeping an eye on the Vote for any report,Html version of report ,"Date the committee met, not the date the report was published",1702,1623,3UAra5uW
1709,Motion to disagree with the procedure recommendation made by the Commons committee tabled (House of Commons),Motion to disagree with the procedure recommendation made by the Commons committee tabled,"The Business, Energy and Industrial Strategy Committee examines all legislative reform orders. It considers whether the minister has recommended the appropriate level of scrutiny and can require a higher level. It has 30 days to do this. The Government, or member, can table a motion to disagree with the recommendation.",1,1,,4,This is likely to be a Government motion so will appear on the Order paper or Future Business B under 'remaining orders'. If a backbencher or Opposition Member tables the motion it will appear as an EDM. ,Anchor link of whichever document the motion first appears on,Date tabled - if unsure please contact the Journal Office. ,,,p7zeZLdN
2351,Brought to the attention of Parliament,Brought to the attention of Parliament,Treaties can be brought to the attention of Parliament before they're signed or laid subject to the Constitutional Reform and Governance Act 2010. Treaties can first be brought to the attention of Parliament via a ministerial statement or a committee inquiry during the negotiation process of said treaty. ,1,,,1,This step should only be used if a treaty has business before it is signed. If a treaty’s business is limited to after signing then there is no cause for this step to be used. ,No link (the reason being that this step is more of a starting point than a useful linking step),Date of the first step of business you’re adding. ,,,AmYrFxwO
1710,Motion to disagree with the procedure recommendation made by the Commons committee withdrawn (House of Commons),Motion to disagree with the procedure recommendation made by the Commons committee withdrawn,"The Business, Energy and Industrial Strategy Committee examines all legislative reform orders. It considers whether the minister has recommended the appropriate level of scrutiny and can require a higher level. It has 30 days to do this. The Government, or member, can table a motion to disagree with the recommendation. Motions can be withdrawn at any point between tabling and the question being put.",1,1,,4,This may be in the Commons Future Business by way of omission when it previously existed. If a motion is withdrawn after debate then the Votes will be the source. ,No link? Or link to Vote if the motion was withdrawn after debate. ,Date withdrawn,,1205,RrCZZRTO
1711,Motion to disagree with the procedure recommendation made by the Commons committee lapsed at the end of the session (House of Commons),Motion to disagree with the procedure recommendation made by the Commons committee lapsed at the end of the session,"The Business, Energy and Industrial Strategy Committee examines all legislative reform orders. It considers whether the minister has recommended the appropriate level of scrutiny and can require a higher level. It has 30 days to do this. The Government, or member, can table a motion to disagree with the recommendation. Motions can be withdrawn at any point between tabling and the question being put. Motions lapse at the end of the session if they are still on the table. ",1,1,,4,All motions lapse at the end of session. ,V&P or if Parliament is dissolved then the proclamation that appears in the Gazette. ,Date the session ends ,,1206,qe8yM53M
2358,"Environment, Food and Rural Affairs Committee made recommendations about what lessons could be learnt for future treaties (House of Commons)","Environment, Food and Rural Affairs Committee made recommendations about what lessons could be learnt for future treaties","The Environment, Food and Rural Affairs Committeecan make a number of recommendations to Parliament about a treaty subject to the Constitutional Reform and Governance Act 2010.",1,1,,"5, 4",The Committee can recommend multiple actions for a treaty in their reports. Please actualise alongside any other recommendation steps. It may not always be obvious in a report when a recommendation has been made so please read their summary carefully. , Html link (not the pdf),Date the committee met (this usually differs to the publishing date) ,268,1252,8y9v4w7L
1712,Debate on motion to disagree with the procedure recommendation made by the Commons committee (House of Commons),Debate on motion to disagree with the procedure recommendation made by the Commons committee,"The Business, Energy and Industrial Strategy Committee examines all legislative reform orders. It considers whether the minister has recommended the appropriate level of scrutiny and can require a higher level. It has 30 days to do this. The Government, or member, can table a motion to disagree with the recommendation. A debate must take place on such a motion before the question is put. ",1,1,,"6, 4","Actualise this step when it is scheduled on the Parliamentary Calendar or Future Business so it appears in 'Scheduled upcoming stages' on the workpackage page. The link will need to be updated once the debate has taken place. If it's rescheduled, change the date. ",Commons Hansard URL,Date of debate,,1209,TaZLL50P
1713,Motion to disagree with the procedure recommendation made by the Commons committee not moved (House of Commons),Motion to disagree with the procedure recommendation made by the Commons committee not moved,"The Business, Energy and Industrial Strategy Committee examines all legislative reform orders. It considers whether the minister has recommended the appropriate level of scrutiny and can require a higher level. It has 30 days to do this. The Government, or member, can table a motion to disagree with the recommendation. Members or Government can choose not to move a motion before or after debate. ",1,1,,4,"Usually occurs at the end of a debate considering several motions in one, the first will be decided while the others, where necessary, not moved",Hansard anchor link,Date the motion was not moved,,1207,pG1u9e1s
1714,Motion to disagree with the procedure recommendation made by the Commons committee not called (House of Commons),Motion to disagree with the procedure recommendation made by the Commons committee not called,"The Business, Energy and Industrial Strategy Committee examines all legislative reform orders. It considers whether the minister has recommended the appropriate level of scrutiny and can require a higher level. It has 30 days to do this. The Government, or member, can table a motion to disagree with the recommendation. A motion not having been called is when the motion is on the Order Paper for that day but did not occur. It may or may not be called on a future date.",1,1,,4,"A motion not being called will usually mean it is on the Order Paper to be debated or moved (either alone or en bloc with similar motions) but for whatever reason the motion has not been called at all. We notice it by its omission, a comparison of what is due to happen on the Order Paper and what did happen on the Votes & Proceedings. ",No link,Date the motion was due to be called in the House of Commons chamber,,,QYEhFuPI
2644,Non-fatal amendment to legislative consent motion not moved (Northern Ireland Assembly),Non-fatal amendment to legislative consent motion not moved,,1,,4,,,,,,,5WcmfKNE
1715,Question put on motion to disagree with the procedure recommendation made by the Commons committee (House of Commons),Question put on motion to disagree with the procedure recommendation made by the Commons committee,"The Business, Energy and Industrial Strategy Committee examines all legislative reform orders. It considers whether the minister has recommended the appropriate level of scrutiny and can require a higher level. It has 30 days to do this. The Government, or member, can table a motion to disagree with the recommendation.",1,1,,,Following a debate there may be a question put to the House.,Votes and Proceedings anchor link,Date of decision,"1716, 1717",1208,E3zezJcz
1716,House resolved against committee procedure recommendation (House of Commons),House resolved against committee procedure recommendation,"The Business, Energy and Industrial Strategy Committee examines all legislative reform orders. It considers whether the minister has recommended the appropriate level of scrutiny and can require a higher level. It has 30 days to do this. The Government, or member, can table a motion to disagree with the recommendation.  If the House resolves against the committee recommendation then the Minister's recommendation stands.",1,1,,4,Following a debate there may be a question put to the House.,Votes and Proceedings anchor link,Date of decision,1715,1550,Q9HD6TAH
