id,label,name,hassteptype,description,triplestoreid
832,TREATY ITC AG NOT,TREATY ITC AG,3,,u4Vy81aP
833,TREATY ITC AH NOT,TREATY ITC AH,3,,i2rnXc7q
834,TREATY ITC AI NOT,TREATY ITC AI,3,,nQsLMTWp
835,TREATY ITC AJ NOT,TREATY ITC AJ,3,,fUBAeJzP
836,TREATY ITC AA AND,TREATY ITC AA,4,,xGljpZwI
837,TREATY ITC AB AND,TREATY ITC AB,4,,XRG2MXFF
838,TREATY ITC AC AND,TREATY ITC AC,4,,jZNKqK6S
839,TREATY ITC AD AND,TREATY ITC AD,4,,FvFpbHSm
840,TREATY ITC AE AND,TREATY ITC AE,4,,yO0vFf0Z
841,TREATY ITC AF AND,TREATY ITC AF,4,,L8YcyQWF
842,TREATY ITC AG AND,TREATY ITC AG,4,,RZ5HUGAH
843,TREATY ITC AH AND,TREATY ITC AH,4,,wOEcKlNR
844,TREATY ITC AI AND,TREATY ITC AI,4,,2wWSFndA
845,TREATY ITC AJ AND,TREATY ITC AJ,4,,H9iF6b3A
857,TREATY EFRA AA AND,TREATY EFRA AA,4,,YvTLXJJ8
858,TREATY EFRA AB AND,TREATY EFRA AB,4,,biJH2yjD
859,TREATY EFRA AC AND,TREATY EFRA AC,4,,Y8hLpR53
860,TREATY EFRA AD AND,TREATY EFRA AD,4,,XE1WXauG
861,TREATY EFRA AE AND,TREATY EFRA AE,4,,E0hUPxHv
862,TREATY EFRA AF AND,TREATY EFRA AF,4,,uOtS6NjS
863,TREATY EFRA AG AND,TREATY EFRA AG,4,,lCl6cEU6
864,TREATY EFRA AH AND,TREATY EFRA AH,4,,bvCd0fUt
865,TREATY EFRA AI AND,TREATY EFRA AI,4,,X47lbiSf
866,TREATY EFRA AJ AND,TREATY EFRA AJ,4,,dzpxO1EZ
867,TREATY EFRA AA OR,TREATY EFRA AA,5,,oe0awCpq
868,TREATY EFRA AB OR,TREATY EFRA AB,5,,pGXqTvO0
869,TREATY EFRA AA Decision,TREATY EFRA AA,2,,cqQYuNhn
870,TREATY EFRA AB Decision,TREATY EFRA AB,2,,ERCZS1DO
871,TREATY EFRA AC Decision,TREATY EFRA AC,2,,N10TXGWB
872,TREATY EFRA AD Decision,TREATY EFRA AD,2,,1Mms2OjK
873,TREATY EFRA AE Decision,TREATY EFRA AE,2,,zNzKUZHX
874,TREATY EFRA AF Decision,TREATY EFRA AF,2,,bihk2zaP
875,TREATY EFRA AA NOT,TREATY EFRA AA,3,,L4mU7kge
876,TREATY EFRA AB NOT,TREATY EFRA AB,3,,fYKzbyWR
877,TREATY EFRA AC NOT,TREATY EFRA AC,3,,118gFE5D
878,TREATY EFRA AD NOT,TREATY EFRA AD,3,,QXdJ2wHS
879,TREATY EFRA AE NOT,TREATY EFRA AE,3,,uHtRzjHj
880,TREATY EFRA AF NOT,TREATY EFRA AF,3,,zWUipqbh
881,TREATY EFRA AG NOT,TREATY EFRA AG,3,,CBr98Jh7
882,TREATY EFRA AH NOT,TREATY EFRA AH,3,,pKIQ6l4m
883,TREATY EFRA AI NOT,TREATY EFRA AI,3,,1xUp1jPm
884,TREATY EFRA AJ NOT,TREATY EFRA AJ,3,,EwfI0Cow
980,CH Decision,CH,2,,r89LCjgM
981,CT AA Summation,CT AA,11,Treaty withdrawn or Section 22 invoked,mIrjjvoA
982,CT AB Summation,CT AB,11,Treaty has not been withdrawn and Section 22 has not been invoked,3LVESW2l
983,CT AC Summation,CT AC,11,We are in a period B,wzdCrP7v
984,CT AD Summation,CT AD,11,A motion to not ratify has not been approved in THIS period B,QkVhDv4H
985,CT AE Summation,CT AE,11,Motion(s) that the treaty should not be ratified can be tabled in,Hs7YHVVr
986,CT AF Summation,CT AF,11,Motion(s) that the treaty should not be ratified can be tabled in period A,MoT05QB7
987,CT AG Summation,CT AG,11,Motion(s) to not ratify extant,AhrgLNoi
988,CT AH Summation,CT AH,11,Motions extant,vbEhxKOr
989,CT AI Summation,CT AI,11,Motion(s) to extend period A extant,ub5JAS79
990,CT AJ Summation,CT AJ,11,More motions to extend questions have been put than outcomes recorded,xvhHlJhF
991,CT AK Summation,CT AK,11,One more referral motion has been agreed than DLC debates have taken place,ZQq9u75h
992,CT AL Summation,CT AL,11,A debate has taken place,ZyVqmDwy
993,CT AM Summation,CT AM,11,More questions have been put than outcomes recorded,XwXEtBk2
994,CT BD Summation,CT BD,11,We are in a scrutiny period,BDJf0wtw
995,CT AN Summation,CT AN,11,No resolution against ratification in last period B,wPq4Wbsj
996,CT AO Summation,CT AO,11,Period B has started and ended at least once and is currently ended,RiCosDpn
997,CT AP Summation,CT AP,11,Treaty can be ratified at the end of period A,F47FUBGX
998,CT AQ Summation,CT AQ,11,Treaty can be ratified at the end of a period B,4fg0oPmZ
999,CT AR Summation,CT AR,11,Motion(s) to extend period A extant,HztOwGeT
1000,CT AS Summation,CT AS,11,Motion(s) to take note extant,A9KTZEgx
1001,CT AT Summation,CT AT,11,More questions have been put than outcomes recorded,v0QU15SS
1002,CT AU Summation,CT AU,11,More motions to extend questions have been put than outcomes recorded,2wTjXKdI
1003,CT AV Summation,CT AV,11,Motions tabled,n1ZvALpw
1004,CT AW Summation,CT AW,11,Non-fatal motion(s) to object to the treaty extant,ZDkG6Qlt
1005,CT AX Summation,CT AX,11,Motion(s) to not ratify extant,hx0zZhSK
1006,CT AY Summation,CT AY,11,More non-fatal questions have been put than outcomes recorded,KuqpcmKI
1007,CT AZ Summation,CT AZ,11,A debate has taken place,cD681sKD
1008,CT BA Summation,CT BA,11,More questions have been put than outcomes recorded,DZzLkZ8t
1009,CT BB Summation,CT BB,11,We are in period A,N1TBiycp
1010,CT BC Summation,CT BC,11,We have left period A,yjm99hbt
1011,AA INCREMENT,AA,9,,WYlE5ZHj
1012,AB INCREMENT,AB,9,,hc7L9KKE
1013,AA SUM,AA,8,,9iWl1Szb
1014,AB SUM,AB,8,,rmksordD
1015,AC SUM,AC,8,,K2CmoVfj
1016,AD SUM,AD,8,,JugAtzhw
1017,AE SUM,AE,8,,eIT2mhIu
1018,AF SUM,AF,8,,dNI4w2rQ
1019,AG SUM,AG,8,,jpaofS23
1020,AH SUM,AH,8,,ig9I0E5D
1021,AI SUM,AI,8,,oCcLFk9Q
1022,AJ SUM,AJ,8,,TAuZ6pUK
1023,AK SUM,AK,8,,NPitfO55
1024,AL SUM,AL,8,,dPm6j745
1025,AM SUM,AM,8,,63uoBrfN
1026,AN SUM,AN,8,,4HC8Yfc0
1027,AO SUM,AO,8,,eCZquEFJ
1028,AP SUM,AP,8,,RCpJmYbW
1029,AQ SUM,AQ,8,,zfeQ2tsX
1030,AR SUM,AR,8,,B7crfmOX
1031,AS SUM,AS,8,,xJIDKiw3
1032,AT SUM,AT,8,,Bh68VDet
1033,AU SUM,AU,8,,4VZAwIx8
1034,AV SUM,AV,8,,IJR2Q86G
1035,AW SUM,AW,8,,VZFKjyXo
1036,AX SUM,AX,8,,Bdcm8j9K
1037,AY SUM,AY,8,,GDDSYbex
1038,AZ SUM,AZ,8,,YXcKPxVj
1039,BA SUM,BA,8,,ktH38gNF
1040,BB SUM,BB,8,,MuLfir9W
1041,BC SUM,BC,8,,gEgHujot
1042,BD SUM,BD,8,,uMA7ojqO
1043,BE SUM,BE,8,,Jq73cCnx
1044,AA EQUALS,AA,10,,LBkP16gd
1045,AB EQUALS,AB,10,,8NzmDpdP
1046,AC EQUALS,AC,10,,pe2gUGij
1047,AD EQUALS,AD,10,,dX6GrIhC
1048,AE EQUALS,AE,10,,2rVKl64N
1049,AF EQUALS,AF,10,,UD7m9MBB
1050,AG EQUALS,AG,10,,ffBuzr6Z
1051,AH EQUALS,AH,10,,RZYUJWqh
1052,AI EQUALS,AI,10,,wf8Cwr5e
1053,AJ EQUALS,AJ,10,,ecUNTs7B
1054,AK EQUALS,AK,10,,PyL56GSj
1055,AL EQUALS,AL,10,,qEahaizR
1056,AM EQUALS,AM,10,,73Dn9e5c
1057,AN EQUALS,AN,10,,o9ADXDXD
1058,AO EQUALS,AO,10,,I2v9vfbU
1059,AP EQUALS,AP,10,,DjyCAI0q
1060,AQ EQUALS,AQ,10,,MXJ77d9y
1061,AR EQUALS,AR,10,,DJRfZlVa
1062,AS EQUALS,AS,10,,rhjkcXcH
1063,AT EQUALS,AT,10,,g8YdrTK6
1074,CJ Decision,CJ,2,,i5FBYAR6
1075,CK Decision,CK,2,,hhctcGS2
1077,CI Decision,CI,2,,CqQvSG92
1078,CL Decision,CL,2,,7olcPR1u
1079,CM Decision,CM,2,,DV6fIR9l
1080,CN Decision,CN,2,,Wh4Q7SEp
1081,CO Decision,CO,2,,ltnH5rVn
1082,CP Decision,CP,2,,4Rfa57Mi
1083,CQ Decision,CQ,2,,K9OrWOCC
1085,EK AND,EK,4,,wP4nNiD9
1087,EC NOT,EC,3,,QodVMQBU
1088,ED NOT,ED,3,,TdztrXkL
1090,MN AA Summation,MN AA,11,Motion(s) to stop the instrument being law extant ,Qp0PbwFw
1091,MN AB Summation,MN AB,11,More questions have been put than outcomes recorded ,8CgNpNP0
1092,EE NOT,EE,3,,5834NIsu
1093,MN AC Summation,MN AC,11,Non-fatal motion(s) to object to the instrument extant,dzD7vo31
1095,EF NOT,EF,3,,5qcmXWJp
1096,EL AND,EL,4,,MxuY9ES0
1097,EM AND,EM,4,,UUao3vmG
1098,EG NOT,EG,3,,RMXMfIHw
1099,MN AD Summation,MN AD,11,More questions have been put than outcomes recorded,JibERHMd
1100,EN AND,EN,4,,juos0THI
1101,MN AE Summation,MN AE,11,One more referral motion has been agreed than DLC debates have taken place,2DTSm5z2
1102,MN AF Summation,MN AF,11,Objection period has not ended,rmLMKmQt
1103,MN AG Summation,MN AG,11,Non-fatal motion(s) to object to the instrument extant,2l59Ezza
1105,MN AH Summation,MN AH,11,More questions have been put than outcomes recorded,Ud77EM4y
1106,EH NOT,EH,3,,XEocgNQv
1107,MN AI Summation,MN AI,11,Motion(s) to stop the instrument being law extant,DuJlT5ki
1109,MN AJ Summation,MN AJ,11,Take note motion(s) extant,Lcgfk0OF
1110,MN AK Summation,MN AK,11,More questions have been put than outcomes recorded,hfomj52k
1111,EI NOT,EI,3,,YcZjxUNJ
1114,EO AND,EO,4,,yeDL9jEv
1116,MN AL Summation,MN AL,11,More questions have been put than outcomes recorded,mfjh0bke
1117,EJ NOT,EJ,3,,5ls9ZOjN
1120,DN AA Summation,DN AA,11,Objection period has not ended,vJxsmLeL
1121,DN AB Summation,DN AB,11,Non-fatal motion(s) to object to the instrument extant,nQcszL0g
1226,SP AD NOT,SP AD,3,,ZZb7mB2B
1122,DN AC Summation,DN AC,11,More questions have been put than outcomes recorded,QCLYjPJg
1123,DN AD Summation,DN AD,11,One more referral motion has been agreed than DLC debates have taken place,Zlizv61w
1124,DN AE Summation,DN AE,11,Motion(s) to stop the instrument becoming law extant ,iv4LmcUi
1126,DN AF Summation,DN AF,11,More questions have been put than outcomes recorded,uA3iw4oc
1127,DN AG Summation,DN AG,11,Motion(s) to take note of the instrument extant,LqadrEX5
1129,DN AH Summation,DN AH,11,Motion(s) to stop the instrument becoming law extant,7isFrLQE
1130,DN AI Summation,DN AI,11,Non-fatal motion(s) to object to the instrument extant,O3c7dC3A
1131,DN AJ Summation,DN AJ,11,More questions have been put than outcomes recorded,ej6dL1uh
1132,DN AK Summation,DN AK,11,More questions have been put than outcomes recorded,Z4uzKZs4
1133,DN AL Summation,DN AL,11,More questions have been put than outcomes recorded,1KgqUnTw
1134,DA AA Summation,DA AA,11,Motion to approve the instrument extant,h4q01ntH
1137,DA AB Summation,DA AB,11,More questions have been put than outcomes recorded,2E0a3Ws9
1138,DA AC Summation,DA AC,11,Motion to approve the instrument extant,VWqRTfis
1141,DA AD Summation,DA AD,11,Non-fatal motion(s) to object to the instrument extant,G1sGkKwA
1143,DA AE Summation,DA AE,11,Motion(s) to stop the instrument becoming law extant ,dEO3qkco
1144,DA AF Summation,DA AF,11,Instrument not withdrawn from the House of Lords ,m6c3wW7f
1145,DA AG Summation,DA AG,11,More questions have been put than outcomes recorded ,NDIBFDv1
1146,DA AH Summation,DA AH,11,More questions have been put than outcomes recorded ,kT2MYmRH
1147,DA AI Summation,DA AI,11,More questions have been put than outcomes recorded ,MZNZ06hh
1148,DA AJ Summation,DA AJ,11,JCSI scrutiny reserve met - approval motion can be moved,R4fynrLd
1149,BG OR,BG,5,,MsGZ1YAT
1150,MA AA Summation,MA AA,11,Approval period has ended,O8vryrWP
1151,MA AB Summation,MA AB,11,Approval period has not ended or the instrument is not subject to a clock,XGegxA64
1152,MA AC Summation,MA AC,11,Instrument not revoked by another instrument,CJwSe4Qt
1153,MA AD Summation,MA AD,11,Motion to approve the instrument extant,GdVyAzgZ
1154,MA AE Summation,MA AE,11,More questions have been put than outcomes recorded,bRWySAzm
1155,MA AF Summation,MA AF,11,Motion to approve the instrument extant,k5MFGvQ9
1156,MA AG Summation,MA AG,11,Non-fatal motion(s) to object to the instrument extant,SCQn7i5j
1157,MA AH Summation,MA AH,11,Motion(s) to stop the instrument being law extant,CzGbZXFz
1158,MA AI Summation,MA AI,11,JCSI scrutiny reserve condition met and approval motion can be moved,NFigCgxE
1159,BH OR,BH,5,,8JiXYS47
1160,BI OR,BI,5,,i3eYoYQW
1161,MA AJ Summation,MA AJ,11,More questions have been put than outcomes recorded ,eoUVvR3H
1162,MA AK Summation,MA AK,11,More questions have been put than outcomes recorded,SoKj1VH5
1163,MA AL Summation,MA AL,11,More questions have been put than outcomes recorded ,G7iB71MD
1164,Treaty Lords AA Summation,Treaty Lords AA,11,Not considered by the Secondary Legislation Scrutiny Committee,Xtq0YPLE
1165,Treaty Lords BX NOT,Treaty Lords BX,3,,ixhXEnWG
1166,Treaty Lords AB Summation,Treaty Lords AB,11,Allocated to the EU committee or to an EU sub-committee,kaE0fzh3
1167,DA AK Summation,DA AK,11,Instrument not withdrawn from the House of Commons,FmE04ooF
1168,MN AM Summation,MN AM,11,Instrument not revoked by another instrument,i01wcTLF
1169,EK NOT,EK,3,,J81yQ2qU
1170,DN AM Summation,DN AM,11,Instrument not withdrawn from the House of Lords ,Ob8z5zFS
1171,DN AN Summation,DN AN,11,Instrument not withdrawn from the House of Commons ,Dxz2vjP8
1172,PL AA Summation,PL AA,11,Bill printed at end of first reading in first House,LlvY26Lh
1217,SP AA AND,SP AA,4,,g9U1mT5q
1218,SP AB AND,SP AB,4,,UuQagB5K
1219,SP AC AND,SP AC,4,,1a1iG5Pw
1220,SP AD AND,SP AD,4,,MeCJP4gp
1221,SP AE AND,SP AE,4,,toySoNez
1222,SP AF AND,SP AF,4,,ZGwJy1tz
1223,SP AA NOT,SP AA,3,,ilJu12vr
1224,SP AB NOT,SP AB,3,,VMuQAFCF
1225,SP AC NOT,SP AC,3,,hM98UyWf
1227,SP AE NOT,SP AE,3,,TK9WbxvN
1228,SP AF NOT,SP AF,3,,NDCvVgo9
1229,SP AA Decision,SP AA,2,,zCDIMiS7
1230,SP AB Decision,SP AB,2,,GJuoNSGn
1231,SP AC Decision,SP AC,2,,e5bQvRVg
1232,SP AD Decision,SP AD,2,,wRGr3Fy3
1237,QC AA Summation,QC AA,11,More decisions have been made than outcomes recorded,E08OLlce
1238,PL AB Summation,PL AB,11,Queen’s consent signified or not required,MmwXTDil
1239,QC AA Decision,QC AA,2,,RWkWlt5c
1240,QC AB Decision,QC AB,2,,yeuGpsLT
1241,QC AC Decision,QC AC,2,,9nSshAC4
1242,QC AA OR,QC AA,5,,m5IKhXit
1243,QC AA AND,QC AA,4,,pGNUe6eE
1244,QC AA SUM,QC AA,8,,0hhEzAMO
1245,QC AA EQUALS,QC AA,10,,yClWzVbP
1246,QC AB EQUALS,QC AB,10,,E1MsCuT1
1247,QC AA NOT,QC AA,3,,z6rIAQbn
1248,QC AB NOT,QC AB,3,,Vh5D13no
1249,QC AC NOT,QC AC,3,,iJ7O85OQ
1250,QA AC EQUALS,QA AC,10,,g0A1N7HY
1251,PWC AA NOT,PWC AA,3,,adLV2i3r
1252,PWC AB NOT,PWC AB,3,,9vBaKsql
1253,PWC AA Decision,PWC AA,2,,Fv2F5QD7
1254,PWC AB Decision,PWC AB,2,,GzXO7ZEt
1255,PWC AC Decision,PWC AC,2,,m1W3CAcf
1256,PWC AA SUM,PWC AA,8,,qq7N8KRs
1257,PWC AA EQUALS,PWC AA,10,,wO0f0ADi
1258,PWC AB EQUALS,PWC AB,10,,E39q4ICP
1259,PWC AC EQUALS,PWC AC,10,,jC7oA6eR
1260,PWC AA Summation,PWC AA,11,More decisions have been made than outcomes recorded ,JonbEu2v
1261,PL AC Summation,PL AC,11,Prince of Wales's consent signified or not required,kecEWjFZ
1266,GSSC AA NOT,GSSC AA,3,,i0HRwq3P
1267,GSSC AB NOT,GSSC AB,3,,zG6S1c0I
1268,GSSC AA Decision,GSSC AA,2,,rITETy2S
1269,GSSC AB Decision,GSSC AB,2,,Zr1IlHWG
1270,GSSC AC Decision,GSSC AC,2,,QRCxo64B
1271,GSSC AA SUM,GSSC AA,8,,GRE0ruOZ
1272,GSSC AA EQUALS,GSSC AA,10,,xHMQdQpN
1273,GSSC AB EQUALS,GSSC AB,10,,7TsFI40k
1274,GSSC AC EQUALS,GSSC AC,10,,aoaL4Wyj
1275,GSSC AA Summation,GSSC AA,11,More decisions have been made than outcomes recorded,MxXTCqFc
1276,PL AD Summation,PL AD,11,Great Steward of Scotland's consent signified or not required,qxQlCLAQ
1284,BJ OR,BJ,5,,WAc4Xgid
1285,TREATY IAC+EAC AC AND,TREATY IAC+EAC AC,4,,Xim3q0Gm
1286,TREATY IAC+EAC AD AND,TREATY IAC+EAC AD,4,,RhbKSApL
1287,TREATY IAC+EAC AC NOT,TREATY IAC+EAC AC,3,,FlgcDtg6
1288,TREATY IAC+EAC AD NOT,TREATY IAC+EAC AD,3,,H6qxJ02M
1289,TREATY IAC+EAC AD Decision,TREATY IAC+EAC AD,2,,P4K6kkMv
1294,TREATY IAC+EAC AE NOT,TREATY IAC+EAC AE,3,,ccepog8J
1295,TREATY IAC+EAC AF NOT,TREATY IAC+EAC AF,3,,qjMVZzcF
1296,TREATY IAC+EAC AG NOT,TREATY IAC+EAC AG,3,,JnDvNBNu
1297,TREATY IAC+EAC AH NOT,TREATY IAC+EAC AH,3,,abqCEVXc
1298,TREATY IAC+EAC AE AND,TREATY IAC+EAC AE,4,,MjndnJie
1299,TREATY IAC+EAC AF AND,TREATY IAC+EAC AF,4,,cUurIJwk
1300,TREATY IAC+EAC AG AND,TREATY IAC+EAC AG,4,,QSrVFhfl
1301,TREATY IAC+EAC AH AND,TREATY IAC+EAC AH,4,,2GhAzMeo
1302,TREATY IAC+EAC AE Decision,TREATY IAC+EAC AE,2,,hT5XHMOQ
1303,TREATY IAC+EAC AF Decision,TREATY IAC+EAC AF,2,,pGeF6vxr
1304,TREATY IAC+EAC AG Decision,TREATY IAC+EAC AG,2,,2gKImphb
1305,TREATY IAC+EAC AH Decision,TREATY IAC+EAC AH,2,,IJvfvUjd
1306,TREATY IAC+EAC AC OR,TREATY IAC+EAC AC,5,,KR0cybrw
1307,TREATY IAC+EAC AD OR,TREATY IAC+EAC AD,5,,I5IS58XE
1308,TREATY IAC+EAC AI Decision,TREATY IAC+EAC AI,2,,9dFhly49
1309,TREATY IAC+EAC AJ Decision,TREATY IAC+EAC AJ,2,,n0TbZbQZ
1310,TREATY IAC+EAC AI NOT,TREATY IAC+EAC AI,3,,L4RfMzKu
1311,TREATY IAC+EAC AJ NOT,TREATY IAC+EAC AJ,3,,8smzNwBk
1312,TREATY IAC+EAC AI AND,TREATY IAC+EAC AI,4,,ASFBhVdQ
1313,TREATY IAC+EAC AJ AND,TREATY IAC+EAC AJ,4,,f7ttAed4
1315,TREATY IAC+EAC AK Decision,TREATY IAC+EAC AK,2,,7qI6gu3r
1316,TREATY IAC+EAC AK NOT,TREATY IAC+EAC AK,3,,ZGz421X5
1317,TREATY IAC+EAC AK AND,TREATY IAC+EAC AK,4,,HsLeaxy3
1318,TREATY IAC+EAC AL Decision,TREATY IAC+EAC AL,2,,NQgp2g4Q
1319,TREATY IAC+EAC AL NOT,TREATY IAC+EAC AL,3,,wRDt5ZxZ
1320,TREATY IAC+EAC AL AND,TREATY IAC+EAC AL,4,,57VIYMUC
1326,TREATY IAC+EAC AM Decision,TREATY IAC+EAC AM,2,,ashQivwg
1327,TREATY IAC+EAC AM NOT,TREATY IAC+EAC AM,3,,j5UyVRj0
1328,TREATY IAC+EAC AM AND,TREATY IAC+EAC AM,4,,e65lghT0
1329,TREATY IAC+EAC AN Decision,TREATY IAC+EAC AN,2,,37vr94jZ
1330,TREATY IAC+EAC AN NOT,TREATY IAC+EAC AN,3,,ghvvPv0U
1331,TREATY IAC+EAC AN AND,TREATY IAC+EAC AN,4,,fR7vXr7w
1332,PL AE Summation,PL AE,11,Bill can be introduced in the House of Commons,O3Bj6C06
1333,PL AF Summation,PL AF,11,Bill has entered the House of Commons,YsxjHP7i
1334,PL AG Summation,PL AG,11,Rejected at second reading,ix5hIyl8
1335,PL AH Summation,PL AH,11,Bill is in the House of Commons,ioer9n4A
1336,PL AI Summation,PL AI,11,Bill has left the House of Commons following third reading,zi8wzwhB
1337,PL AJ Summation,PL AJ,11,Bill has left the House of Commons having passed third reading,jBty4aff
1338,PL AK Summation,PL AK,11,Rejected at third reading,RdCCDXlb
1339,PL AL Summation,PL AL,11,Bill not dead,RP0pNxVt
1340,PL AM Summation,PL AM,11,Bill dead,nN7VEfEz
1341,PL AN Summation,PL AN,11,Bill can be introduced in the House of Lords,id26KfBj
1342,PL AO Summation,PL AO,11,Bill has entered the House of Lords,CKC77OPt
1343,PL AP Summation,PL AP,11,Parliament Act is in operation,HsQ1k8eK
1344,PL AQ Summation,PL AQ,11,Bill is in the House of Lords,o2ReTcfv
1345,PL AR Summation,PL AR,11,Rejected at second reading,cSzxt2gC
1346,PL AS Summation,PL AS,11,Bill has left the House of Lords following third reading,4V11MPY4
1347,PL AT Summation,PL AT,11,Bill has left the House of Lords having passed third reading,sNYovx4L
1348,PL AU Summation,PL AU,11,Rejected at third reading,CmIiI2yi
1349,CFR AA NOT,CFR AA,3,,YJFn8yPA
1350,CFR AA AND,CFR AA,4,,Am2ffSOg
1351,CFR AA OR,CFR AA,5,,tfR7xcGr
1380,CTM AA AND,CTM AA,4,,dfQqJAgm
1381,CTM AB AND,CTM AB,4,,BzbxEG5K
1382,CTM AC AND,CTM AC,4,,6by8VG0m
1383,CTM AD AND,CTM AD,4,,OauuglPA
1384,CTM AE AND,CTM AE,4,,Cbxl9oPP
1385,CTM AA NOT,CTM AA,3,,XoACDOXs
1386,CTM AB NOT,CTM AB,3,,IINhXLqi
1387,CTM AC NOT,CTM AC,3,,F1R7cQw8
1388,CTM AD NOT,CTM AD,3,,MFKybyB1
1389,CTM AE NOT,CTM AE,3,,H5lBKIst
1390,CTM AF NOT,CTM AF,3,,isgpcZzo
1391,CTM AA Decision,CTM AA,2,,PwEzvR4d
1392,CTM AB Decision,CTM AB,2,,ESg3Vnn3
1393,CTM AC Decision,CTM AC,2,,PHWe2krd
1394,CTM AD Decision,CTM AD,2,,Ln9jztjW
1395,CTM AE Decision,CTM AE,2,,2eRipd8r
1396,CTM AA SUM,CTM AA,8,,K0X4pIhO
1397,CTM AA EQUALS,CTM AA,10,,szv5RcP5
1398,CTM AA Summation,CTM AA,11,More questions have been put than recorded,AAFlrRpi
1415,PRO AA Summation,PRO AA,11,Committee decision made but not recorded,bBiAIy6h
1416,PRO AB Summation,PRO AB,11,Scrutiny period has not ended,NVIy2DsP
1422,DARO AA Summation,DARO AA,11,Instrument not withdrawn from the House of Commons,3M1RaRN1
1423,DARO AB Summation,DARO AB,11,Motion to approve the instrument extant,CaRYT2Wt
1424,DARO AC Summation,DARO AC,11,JCHR scrutiny reserve condition met and approval motion can be moved,bJeH5xau
1425,DARO AD Summation,DARO AD,11,More questions have been put than outcomes recorded,kOKr1xuK
1426,DARO AF Summation,DARO AF,11,Instrument not withdrawn from the House of Lords,L7rN85N7
1427,DARO AG Summation,DARO AG,11,Non-fatal motion(s) to object to the instrument extant,f5qP1qER
1428,DARO AH Summation,DARO AH,11,Motion to approve the instrument extant,BBeJJc8q
1429,DARO AI Summation,DARO AI,11,Motion(s) to stop the instrument becoming law extant,O1zkaJKM
1430,DARO AJ Summation,DARO AJ,11,JCHR scrutiny reserve condition met and approval motion can be moved,ea6mPmey
1431,DARO AK Summation,DARO AK,11,More questions have been put than outcomes recorded,3VGcYiix
1432,DARO AL Summation,DARO AL,11,There has been a debate,F80zCoas
1433,DARO AM Summation,DARO AM,11,More questions have been put than outcomes recorded,NNBgyvHx
1434,DARO AN Summation,DARO AN,11,More questions have been put than outcomes recorded,CjEd0LfC
1435,DARO AO Summation,DARO AO,11,Pre-approval period has ended. Instrument may be approved.,Z5VLyb4H
1436,DARO AP Summation,DARO AP,11,Pre-approval period has not ended,L1o9AI5Y
1437,PL AV Summation,PL AV,11,Bill read the first time,JkBTM1N0
1439,PL AW Summation,PL AW,11,Bill read the second time,T2ldlQz4
1440,PL AX Summation,PL AX,11,Prerogative consent signified or not required,LseroWvg
1447,CS Decision,CS,2,,PfNuGSxe
1448,CR Decision,CR,2,,BF76XcNU
1449,EP AND,EP,4,,6YLovkV9
1450,MA AM Summation,MA AM,11,Question on motion to approve the instrument has not been put,nmNXYoVF
1451,EQ AND,EQ,4,,ARRLXF5m
1452,ER AND,ER,4,,KKdL4PhW
1453,DA AL Summation,DA AL,11,Question on motion to approve the instrument not put ,tcqEjvlk
1455,DA AM Summation,DA AM,11,Instrument created,syDcyh8v
1456,DA AN Summation,DA AN,11,Instrument not created,aNkoOmpz
1457,DN AO Summation,DN AO,11,Instrument created,fVHUn4t5
1458,DN AP Summation,DN AP,11,Instrument not created ,mIfCeHha
1459,MN AO Summation,MN AO,11,Instrument not created ,2nshJJTI
1460,MN AN Summation,MN AN,11,Instrument created ,cGHkk4v1
1461,BK OR,BK,5,,1lHu0YDi
1462,BL OR,BL,5,,ex1jCR9P
1463,BM OR,BM,5,,U3ch3WBb
1464,BN OR,BN,5,,paUR3Flj
1465,MA AN Summation,MA AN,11,Instrument created,GijSXMCy
1466,MA AO Summation,MA AO,11,Instrument not created ,hz5LsPzL
1467,AU EQUALS,AU,10,,SibW8rAf
1468,AV EQUALS,AV,10,,15QRm2nR
1470,BF SUM,BF,8,,My8TX3xO
1471,BG SUM,BG,8,,q9xrg4R0
1473,Treaty Lords BX AND,Treaty Lords BX,4,,aGnxJfFP
1474,Treaty Lords BY NOT,Treaty Lords BY,3,,uc3C3YEb
1475,Treaty Lords AR Decision,Treaty Lords AR,2,,Gbve6jof
1478,DA AO Summation,DA AO,11,Motion(s) to take note of the instrument extant ,wL1nLYNe
1482,MARO AB Summation,MARO AB,11,Motion to approve the instrument extant ,EUoEFWPH
1483,MARO AA Summation,MARO AA,11,Instrument not revoked by another instrument ,tw5XXas6
1484,MARO AK Summation,MARO AK,11,Approval period has ended ,kU4kvZOy
1485,MARO AL Summation,MARO AL,11,Approval period has not ended ,vMhWsMc3
1486,MARO AC Summation,MARO AC,11,More questions have been put than outcomes recorded ,q35yEOdt
1488,MARO AD Summation,MARO AD,11,Non-fatal motion(s) to object to the instrument extant,4qhJvwG3
1489,MARO AE Summation,MARO AE,11,Motion to approve the instrument extant ,LcdflZdR
1490,MARO AF Summation,MARO AF,11,Motion(s) to stop the instrument being law extant,TDZQA8gg
1491,MARO AG Summation,MARO AG,11,JCHR scrutiny reserve condition met and approval motion can be moved,Ch9P0Gvu
1492,MARO AJ Summation,MARO AJ,11,More questions have been put than outcomes recorded ,7e1edCxN
