id,triplestoreid,inprocedure,label,fromstep,tostep
3338,7b6NMlAT,3,Route from AI AND to DG AND in the Draft affirmative procedure,urn:procedure-editor:Step:307,urn:procedure-editor:Step:398
3339,Jw2dWvvU,3,Route from AD Decision to DACM AA Summation in the Draft affirmative procedure,urn:procedure-editor:Step:298,urn:procedure-editor:Step:4663
3359,fkZU2eRc,3,Route from AG Decision to Delegated Legislation Committee (DLC) debate (House of Commons) in the Draft affirmative procedure,urn:procedure-editor:Step:321,urn:procedure-editor:BusinessStep:38
3367,tXWxYLEM,3,Route from AH Decision to Chamber debate (House of Commons) in the Draft affirmative procedure,urn:procedure-editor:Step:324,urn:procedure-editor:BusinessStep:23
3374,piL8FLyN,3,Route from AT AND to AI Decision in the Draft affirmative procedure,urn:procedure-editor:Step:332,urn:procedure-editor:Step:489
3379,V0X1PODW,3,Route from AI Decision to Question on motion to approve the instrument put (House of Commons) in the Draft affirmative procedure,urn:procedure-editor:Step:489,urn:procedure-editor:BusinessStep:26
3381,ZcoK6bg4,3,Route from DA AB Summation to Decision on motion to approve the instrument deferred (House of Commons) in the Draft affirmative procedure,urn:procedure-editor:Step:1137,urn:procedure-editor:BusinessStep:100
3393,v8Gj1LA7,3,Route from DA AB Summation to Instrument rejected (House of Commons) in the Draft affirmative procedure,urn:procedure-editor:Step:1137,urn:procedure-editor:BusinessStep:96
3398,IIi2OhDt,3,Route from Instrument approved (House of Commons) to BH AND in the Draft affirmative procedure,urn:procedure-editor:BusinessStep:40,urn:procedure-editor:Step:347
3399,M2c7jOuZ,3,Route from Instrument approved (House of Commons) to BJ AND in the Draft affirmative procedure,urn:procedure-editor:BusinessStep:40,urn:procedure-editor:Step:349
3400,SVjtdRPe,3,Route from Instrument rejected (House of Commons) to AJ OR in the Draft affirmative procedure,urn:procedure-editor:BusinessStep:96,urn:procedure-editor:Step:313
3401,Y3zuFkno,3,Route from Instrument rejected (House of Commons) to AL OR in the Draft affirmative procedure,urn:procedure-editor:BusinessStep:96,urn:procedure-editor:Step:318
3402,X7WBis8y,3,Route from Instrument approved (House of Commons) to AE OR in the Draft affirmative procedure,urn:procedure-editor:BusinessStep:40,urn:procedure-editor:Step:295
3403,rL4PF68E,3,Route from AE OR to AF OR in the Draft affirmative procedure,urn:procedure-editor:Step:295,urn:procedure-editor:Step:302
3404,TDAFEOQR,3,Route from AF OR to BA AND in the Draft affirmative procedure,urn:procedure-editor:Step:302,urn:procedure-editor:Step:339
3405,LMLxq2Kc,3,Route from Laid before the House of Lords (House of Lords) to BC NOT in the Draft affirmative procedure,urn:procedure-editor:BusinessStep:12,urn:procedure-editor:Step:430
3406,XXM8TT2X,3,Route from BC NOT to BA AND in the Draft affirmative procedure,urn:procedure-editor:Step:430,urn:procedure-editor:Step:339
3407,ctBnRjQR,3,Route from BA AND to BB AND in the Draft affirmative procedure,urn:procedure-editor:Step:339,urn:procedure-editor:Step:340
3408,kMbzNPlN,3,Route from BB AND to Procedure concluded in the House of Commons (House of Commons) in the Draft affirmative procedure,urn:procedure-editor:Step:340,urn:procedure-editor:BusinessStep:110
3409,TQ9ITRwo,3,Route from Procedure concluded in the House of Commons (House of Commons) to BD NOT in the Draft affirmative procedure,urn:procedure-editor:BusinessStep:110,urn:procedure-editor:Step:431
3410,4dwWGPBo,3,Route from BD NOT to BB AND in the Draft affirmative procedure,urn:procedure-editor:Step:431,urn:procedure-editor:Step:340
3411,PsGelWdd,3,Route from Laid before the House of Lords (House of Lords) to BC AND in the Draft affirmative procedure,urn:procedure-editor:BusinessStep:12,urn:procedure-editor:Step:341
3412,lvGXrHo2,3,Route from DA AF Summation to BD AND in the Draft affirmative procedure,urn:procedure-editor:Step:1144,urn:procedure-editor:Step:343
3413,EvclvBbi,3,Route from BC AND to DA AU Summation in the Draft affirmative procedure,urn:procedure-editor:Step:341,urn:procedure-editor:Step:3813
3415,xnHRuSoz,3,Route from BD AND to BE AND in the Draft affirmative procedure,urn:procedure-editor:Step:343,urn:procedure-editor:Step:344
3417,B0M5v4eP,3,Route from BE AND to DA AT Summation in the Draft affirmative procedure,urn:procedure-editor:Step:344,urn:procedure-editor:Step:3812
3418,hBBk1CBz,3,"Route from BF AND to Considered by the Joint Committee on Statutory Instruments (JCSI) (House of Commons, House of Lords) in the Draft affirmative procedure",urn:procedure-editor:Step:345,urn:procedure-editor:BusinessStep:8
3419,J1R3XLpr,3,"Route from Considered by the Joint Committee on Statutory Instruments (JCSI) (House of Commons, House of Lords) to BG NOT in the Draft affirmative procedure",urn:procedure-editor:BusinessStep:8,urn:procedure-editor:Step:434
3420,oRuCnMSK,3,Route from BG NOT to BF AND in the Draft affirmative procedure,urn:procedure-editor:Step:434,urn:procedure-editor:Step:345
3423,o4JbOlB6,3,Route from AH OR to AG OR in the Draft affirmative procedure,urn:procedure-editor:Step:304,urn:procedure-editor:Step:303
3424,NWIP6X1S,3,Route from AG OR to AI OR in the Draft affirmative procedure,urn:procedure-editor:Step:303,urn:procedure-editor:Step:312
3427,DoEF1Mue,3,Route from DA AR Summation to AJ OR in the Draft affirmative procedure,urn:procedure-editor:Step:3494,urn:procedure-editor:Step:313
3428,trF4zgUu,3,Route from Instrument approved (House of Lords) to BH AND in the Draft affirmative procedure,urn:procedure-editor:BusinessStep:39,urn:procedure-editor:Step:347
3429,3m4oki5G,3,Route from AJ OR to AH OR in the Draft affirmative procedure,urn:procedure-editor:Step:313,urn:procedure-editor:Step:304
3430,ilSHRZtC,3,Route from Instrument withdrawn from the House of Lords (House of Lords) to AI OR in the Draft affirmative procedure,urn:procedure-editor:BusinessStep:106,urn:procedure-editor:Step:312
3431,gZQIbjYk,3,Route from AI OR to DD AND in the Draft affirmative procedure,urn:procedure-editor:Step:312,urn:procedure-editor:Step:395
3432,PJTUhs0B,3,Route from DD AND to BG AND in the Draft affirmative procedure,urn:procedure-editor:Step:395,urn:procedure-editor:Step:346
3433,aD91FEg2,3,"Route from BG AND to Procedure concluded in the House of Commons and the House of Lords (House of Commons, House of Lords) in the Draft affirmative procedure",urn:procedure-editor:Step:346,urn:procedure-editor:BusinessStep:111
3434,pq84Bzda,3,"Route from Procedure concluded in the House of Commons and the House of Lords (House of Commons, House of Lords) to BH NOT in the Draft affirmative procedure",urn:procedure-editor:BusinessStep:111,urn:procedure-editor:Step:435
3435,7VIqSjHk,3,Route from BH NOT to BG AND in the Draft affirmative procedure,urn:procedure-editor:Step:435,urn:procedure-editor:Step:346
3436,Qz5at1mU,3,Route from AL OR to AM OR in the Draft affirmative procedure,urn:procedure-editor:Step:318,urn:procedure-editor:Step:322
3439,7eairU83,3,Route from DA AR Summation to AN OR in the Draft affirmative procedure,urn:procedure-editor:Step:3494,urn:procedure-editor:Step:417
3440,iZq6IOel,3,Route from Instrument withdrawn from the House of Lords (House of Lords) to AN OR in the Draft affirmative procedure,urn:procedure-editor:BusinessStep:106,urn:procedure-editor:Step:417
3441,UtvlpzrI,3,Route from AN OR to AM OR in the Draft affirmative procedure,urn:procedure-editor:Step:417,urn:procedure-editor:Step:322
3442,mIwqa7FY,3,Route from AM OR to BI AND in the Draft affirmative procedure,urn:procedure-editor:Step:322,urn:procedure-editor:Step:348
3443,4CvdBf0t,3,Route from BI AND to Instrument cannot become law in the Draft affirmative procedure,urn:procedure-editor:Step:348,urn:procedure-editor:BusinessStep:91
3444,LTklYgJR,3,Route from Instrument cannot become law to BI NOT in the Draft affirmative procedure,urn:procedure-editor:BusinessStep:91,urn:procedure-editor:Step:436
3445,hlCjwp7m,3,Route from BI NOT to BI AND in the Draft affirmative procedure,urn:procedure-editor:Step:436,urn:procedure-editor:Step:348
3446,mYBogjgC,3,Route from Laid before the House of Lords (House of Lords) to BJ NOT in the Draft affirmative procedure,urn:procedure-editor:BusinessStep:12,urn:procedure-editor:Step:437
3447,Nj9I3qgE,3,Route from Instrument approved (House of Lords) to AP OR in the Draft affirmative procedure,urn:procedure-editor:BusinessStep:39,urn:procedure-editor:Step:419
3448,1x4LmVDw,3,Route from BJ NOT to AP OR in the Draft affirmative procedure,urn:procedure-editor:Step:437,urn:procedure-editor:Step:419
3449,GDdpjNbh,3,Route from AP OR to BJ AND in the Draft affirmative procedure,urn:procedure-editor:Step:419,urn:procedure-editor:Step:349
3450,uzIO8MO7,3,Route from BJ AND to BK AND in the Draft affirmative procedure,urn:procedure-editor:Step:349,urn:procedure-editor:Step:350
3451,HWysWUON,3,Route from BK AND to Instrument can be made (signed into law) in the Draft affirmative procedure,urn:procedure-editor:Step:350,urn:procedure-editor:BusinessStep:85
3452,qdcBq628,3,Route from Instrument can be made (signed into law) to BK NOT in the Draft affirmative procedure,urn:procedure-editor:BusinessStep:85,urn:procedure-editor:Step:438
3453,G25faaJG,3,Route from BK NOT to BK AND in the Draft affirmative procedure,urn:procedure-editor:Step:438,urn:procedure-editor:Step:350
3454,SFtOfceG,3,Route from Instrument can be made (signed into law) to BL AND in the Draft affirmative procedure,urn:procedure-editor:BusinessStep:85,urn:procedure-editor:Step:351
3455,emb3kppi,3,Route from BL AND to AM Decision in the Draft affirmative procedure,urn:procedure-editor:Step:351,urn:procedure-editor:Step:493
3456,AxL8GwIb,3,Route from AM Decision to Instrument made (signed into law) in the Draft affirmative procedure,urn:procedure-editor:Step:493,urn:procedure-editor:BusinessStep:15
3457,0BQErRnw,3,Route from Instrument made (signed into law) to BL NOT in the Draft affirmative procedure,urn:procedure-editor:BusinessStep:15,urn:procedure-editor:Step:439
3458,PVannyWI,3,Route from BL NOT to BL AND in the Draft affirmative procedure,urn:procedure-editor:Step:439,urn:procedure-editor:Step:351
3459,aeLHTE6g,3,Route from Instrument made (signed into law) to BM AND in the Draft affirmative procedure,urn:procedure-editor:BusinessStep:15,urn:procedure-editor:Step:352
3460,3dkF6F3R,3,Route from BM AND to AN Decision in the Draft affirmative procedure,urn:procedure-editor:Step:352,urn:procedure-editor:Step:494
3461,vrILn3ck,3,Route from AN Decision to Instrument comes into force as law in the Draft affirmative procedure,urn:procedure-editor:Step:494,urn:procedure-editor:BusinessStep:9
3462,4vC6TqiD,3,Route from Instrument comes into force as law to BM NOT in the Draft affirmative procedure,urn:procedure-editor:BusinessStep:9,urn:procedure-editor:Step:440
3463,tc3xAImu,3,Route from BM NOT to BM AND in the Draft affirmative procedure,urn:procedure-editor:Step:440,urn:procedure-editor:Step:352
3464,u6WXfJG8,3,Route from BN AND to AO Decision in the Draft affirmative procedure,urn:procedure-editor:Step:353,urn:procedure-editor:Step:495
3465,gIZAipjd,3,Route from AO Decision to Laid before the House of Lords (House of Lords) in the Draft affirmative procedure,urn:procedure-editor:Step:495,urn:procedure-editor:BusinessStep:12
3466,yIlArFUr,3,Route from Laid before the House of Lords (House of Lords) to BN NOT in the Draft affirmative procedure,urn:procedure-editor:BusinessStep:12,urn:procedure-editor:Step:441
3467,C0uAEfVj,3,Route from BN NOT to BN AND in the Draft affirmative procedure,urn:procedure-editor:Step:441,urn:procedure-editor:Step:353
3469,03Z5w8lk,3,Route from Laid before the House of Lords (House of Lords) to BQ AND in the Draft affirmative procedure,urn:procedure-editor:BusinessStep:12,urn:procedure-editor:Step:356
3470,SFjaz0o4,3,Route from Laid before the House of Lords (House of Lords) to BO AND in the Draft affirmative procedure,urn:procedure-editor:BusinessStep:12,urn:procedure-editor:Step:354
3471,twUZBzLG,3,Route from Question on motion to approve the instrument put (House of Lords) to BP NOT in the Draft affirmative procedure,urn:procedure-editor:BusinessStep:42,urn:procedure-editor:Step:443
3472,mPXCNIPx,3,Route from BP NOT to BP AND in the Draft affirmative procedure,urn:procedure-editor:Step:443,urn:procedure-editor:Step:355
3473,ohhjpi3o,3,Route from BP AND to AP Decision in the Draft affirmative procedure,urn:procedure-editor:Step:355,urn:procedure-editor:Step:496
3474,TEqYshi8,3,Route from AP Decision to Instrument withdrawn from the House of Lords (House of Lords) in the Draft affirmative procedure,urn:procedure-editor:Step:496,urn:procedure-editor:BusinessStep:106
3476,bJiaWDRM,3,Route from DA AF Summation to BO AND in the Draft affirmative procedure,urn:procedure-editor:Step:1144,urn:procedure-editor:Step:354
3477,VE3myXbR,3,Route from BO AND to BP AND in the Draft affirmative procedure,urn:procedure-editor:Step:354,urn:procedure-editor:Step:355
3484,kgxB0RNW,3,Route from DA AF Summation to BQ AND in the Draft affirmative procedure,urn:procedure-editor:Step:1144,urn:procedure-editor:Step:356
3486,9mawTUcC,3,Route from BQ AND to BP OR in the Draft affirmative procedure,urn:procedure-editor:Step:356,urn:procedure-editor:Step:3125
3487,BBCOd4nr,3,Route from BR AND to Considered by the Secondary Legislation Scrutiny Committee (SLSC) (House of Lords) in the Draft affirmative procedure,urn:procedure-editor:Step:357,urn:procedure-editor:BusinessStep:19
3488,Tt4X5h3A,3,Route from Considered by the Secondary Legislation Scrutiny Committee (SLSC) (House of Lords) to BR NOT in the Draft affirmative procedure,urn:procedure-editor:BusinessStep:19,urn:procedure-editor:Step:445
3489,4yUkAT67,3,Route from BR NOT to BR AND in the Draft affirmative procedure,urn:procedure-editor:Step:445,urn:procedure-editor:Step:357
3560,0jsIk7bs,3,Route from Chamber debate (House of Lords) to CF NOT in the Draft affirmative procedure,urn:procedure-editor:BusinessStep:2,urn:procedure-editor:Step:459
3561,lUVrYAnI,3,Route from CF NOT to CG AND in the Draft affirmative procedure,urn:procedure-editor:Step:459,urn:procedure-editor:Step:372
3562,JA6cOfsS,3,Route from CF AND to CG AND in the Draft affirmative procedure,urn:procedure-editor:Step:371,urn:procedure-editor:Step:372
3564,TcFZIPuc,3,Route from CG AND to CH AND in the Draft affirmative procedure,urn:procedure-editor:Step:372,urn:procedure-editor:Step:373
3565,W4otnrLx,3,Route from CH AND to BC Decision in the Draft affirmative procedure,urn:procedure-editor:Step:373,urn:procedure-editor:Step:509
3566,EQIUuOQx,3,Route from BC Decision to Grand Committee debate (House of Lords) in the Draft affirmative procedure,urn:procedure-editor:Step:509,urn:procedure-editor:BusinessStep:21
3567,Ad1E849f,3,Route from Grand Committee debate (House of Lords) to CH NOT in the Draft affirmative procedure,urn:procedure-editor:BusinessStep:21,urn:procedure-editor:Step:461
3568,2ko0AVz1,3,Route from CH NOT to CH AND in the Draft affirmative procedure,urn:procedure-editor:Step:461,urn:procedure-editor:Step:373
3572,UDYucSXT,3,Route from CJ AND to BD Decision in the Draft affirmative procedure,urn:procedure-editor:Step:375,urn:procedure-editor:Step:510
3573,werlWp2v,3,Route from BD Decision to Chamber debate (House of Lords) in the Draft affirmative procedure,urn:procedure-editor:Step:510,urn:procedure-editor:BusinessStep:2
3574,UqZai7kW,3,Route from Chamber debate (House of Lords) to CJ NOT in the Draft affirmative procedure,urn:procedure-editor:BusinessStep:2,urn:procedure-editor:Step:463
3575,M95xjXCJ,3,Route from CJ NOT to CJ AND in the Draft affirmative procedure,urn:procedure-editor:Step:463,urn:procedure-editor:Step:375
3579,oVYq2W9J,3,Route from CS AND to CT AND in the Draft affirmative procedure,urn:procedure-editor:Step:384,urn:procedure-editor:Step:385
3580,qNUGEjN1,3,Route from CT AND to DJ AND in the Draft affirmative procedure,urn:procedure-editor:Step:385,urn:procedure-editor:Step:401
3582,62MT3Aga,3,Route from BE Decision to Question on non-fatal motion to object to the instrument put (House of Lords) in the Draft affirmative procedure,urn:procedure-editor:Step:511,urn:procedure-editor:BusinessStep:43
3584,yXudOFOg,3,Route from ALM AL Summation to CT AND in the Draft affirmative procedure,urn:procedure-editor:Step:4714,urn:procedure-editor:Step:385
3589,3kQM4Ahw,3,Route from CN AND to BM Decision in the Draft affirmative procedure,urn:procedure-editor:Step:379,urn:procedure-editor:Step:519
3590,IE1ZfKKm,3,Route from BM Decision to Question on motion to approve the instrument put (House of Lords) in the Draft affirmative procedure,urn:procedure-editor:Step:519,urn:procedure-editor:BusinessStep:42
3591,GBhnLE2x,3,Route from Motion to stop the instrument becoming law approved (House of Lords) to CN NOT in the Draft affirmative procedure,urn:procedure-editor:BusinessStep:1507,urn:procedure-editor:Step:467
3595,5kAofkNb,3,Route from CN NOT to CN AND in the Draft affirmative procedure,urn:procedure-editor:Step:467,urn:procedure-editor:Step:379
3597,trq0yS2E,3,Route from CW AND to BL Decision in the Draft affirmative procedure,urn:procedure-editor:Step:388,urn:procedure-editor:Step:518
3599,HktDk1Yl,3,Route from BL Decision to Question on motion to stop the instrument becoming law put (House of Lords) in the Draft affirmative procedure,urn:procedure-editor:Step:518,urn:procedure-editor:BusinessStep:1505
3605,9D5f5lOJ,3,Route from BF Decision to DA AG Summation in the Draft affirmative procedure,urn:procedure-editor:Step:512,urn:procedure-editor:Step:1145
3616,nwnSUepj,3,Route from DA AH Summation to Instrument approved (House of Lords) in the Draft affirmative procedure,urn:procedure-editor:Step:1146,urn:procedure-editor:BusinessStep:39
3625,lTIbuHTT,3,Route from DA AH Summation to Instrument rejected (House of Lords) in the Draft affirmative procedure,urn:procedure-editor:Step:1146,urn:procedure-editor:BusinessStep:78
3632,u5i7Vdlr,3,Route from BJ Decision to DA AI Summation in the Draft affirmative procedure,urn:procedure-editor:Step:516,urn:procedure-editor:Step:1147
3640,EZzTxGAz,3,Route from AM NOT to AK AND in the Draft affirmative procedure,urn:procedure-editor:Step:319,urn:procedure-editor:Step:314
3641,CXTLaH5r,3,Route from Instrument rejected (House of Commons) to AE OR in the Draft affirmative procedure,urn:procedure-editor:BusinessStep:96,urn:procedure-editor:Step:295
3642,CzRnntR9,12,Route from Question on motion to approve the Local Government Finance Report (England) put (House of Commons) to LGFR AA EQUALS in the Local Government Finance Report procedure,urn:procedure-editor:BusinessStep:251,urn:procedure-editor:Step:2827
3645,J7ZXUxGt,12,Route from LGFR AA Summation to Local Government Finance Report (England) approved (House of Commons) in the Local Government Finance Report procedure,urn:procedure-editor:Step:2829,urn:procedure-editor:BusinessStep:244
3646,xFCwzEvI,12,Route from LGFR AA EQUALS to LGFR AA NOT in the Local Government Finance Report procedure,urn:procedure-editor:Step:2827,urn:procedure-editor:Step:666
3653,wVaHCHiL,12,Route from LGFR AA Summation to Local Government Finance Report (England) rejected (House of Commons) in the Local Government Finance Report procedure,urn:procedure-editor:Step:2829,urn:procedure-editor:BusinessStep:252
3656,lnQLVd1H,12,Route from Local Government Finance Report (England) rejected (House of Commons) to LGFR AA SUM in the Local Government Finance Report procedure,urn:procedure-editor:BusinessStep:252,urn:procedure-editor:Step:2828
3658,qzSy5E2g,12,Route from Local Government Finance Report (England) approved (House of Commons) to LGFR AA SUM in the Local Government Finance Report procedure,urn:procedure-editor:BusinessStep:244,urn:procedure-editor:Step:2828
3662,DDDU7yva,3,Route from Laid before the House of Lords (House of Lords) to DD AND in the Draft affirmative procedure,urn:procedure-editor:BusinessStep:12,urn:procedure-editor:Step:395
3663,CMUFHtpq,3,Route from BH AND to AH OR in the Draft affirmative procedure,urn:procedure-editor:Step:347,urn:procedure-editor:Step:304
3673,wA4Wv7bh,3,Route from Chamber debate (House of Lords) to DE AND in the Draft affirmative procedure,urn:procedure-editor:BusinessStep:2,urn:procedure-editor:Step:396
3675,G8wdH2u2,3,Route from DE AND to CS AND in the Draft affirmative procedure,urn:procedure-editor:Step:396,urn:procedure-editor:Step:384
3676,o5qTi0EL,3,Route from Chamber debate (House of Lords) to DF AND in the Draft affirmative procedure,urn:procedure-editor:BusinessStep:2,urn:procedure-editor:Step:397
3677,hAskudGI,3,Route from DF AND to CW AND in the Draft affirmative procedure,urn:procedure-editor:Step:397,urn:procedure-editor:Step:388
3678,qfQFAXKZ,4,Route from Delegated Legislation Committee (DLC) debate (House of Commons) to BI OR in the Made negative procedure,urn:procedure-editor:BusinessStep:38,urn:procedure-editor:Step:1160
3679,Vn4SoYlz,4,Route from Chamber debate (House of Commons) to BI OR in the Made negative procedure,urn:procedure-editor:BusinessStep:23,urn:procedure-editor:Step:1160
3682,9gDqNkVN,4,Route from MN AR Summation to BS AND in the Made negative procedure,urn:procedure-editor:Step:3731,urn:procedure-editor:Step:358
3688,HG6Fr4hN,4,Route from Chamber debate (House of Lords) to EJ AND in the Made negative procedure,urn:procedure-editor:BusinessStep:2,urn:procedure-editor:Step:677
3689,dPxeE5e8,4,Route from EJ AND to DQ AND in the Made negative procedure,urn:procedure-editor:Step:677,urn:procedure-editor:Step:572
3694,ydhAbSbw,5,Route from Chamber debate (House of Commons) to EG AND in the Draft negative procedure,urn:procedure-editor:BusinessStep:23,urn:procedure-editor:Step:674
3695,VGzmYZzQ,5,Route from EG AND to BQ AND in the Draft negative procedure,urn:procedure-editor:Step:674,urn:procedure-editor:Step:356
3696,5prTjKOt,74,Route from Grand Committee debate (House of Lords) to NLM AB OR in the Made negative: Lords motions procedure,urn:procedure-editor:BusinessStep:21,urn:procedure-editor:Step:3625
3697,EgXwjIgR,74,Route from Chamber debate (House of Lords) to NLM AB OR in the Made negative: Lords motions procedure,urn:procedure-editor:BusinessStep:2,urn:procedure-editor:Step:3625
3698,HOwThxPt,74,Route from NLM AB AND to NLM AA AND in the Made negative: Lords motions procedure,urn:procedure-editor:Step:3616,urn:procedure-editor:Step:3615
3700,jFxZ5NSD,5,Route from Chamber debate (House of Lords) to DP AND in the Draft negative procedure,urn:procedure-editor:BusinessStep:2,urn:procedure-editor:Step:571
3816,prWrLd5Z,1,Route from Considered by the Select Committee on Statutory Instruments (SCSI) (House of Commons) to AR NOT in the Made affirmative procedure,urn:procedure-editor:BusinessStep:10,urn:procedure-editor:Step:407
4197,Gvs3WJR2,13,Route from Laid before the House of Lords (House of Lords) to Treaty Lords AI AND in the CRAG Treaty Lords Committee procedure,urn:procedure-editor:BusinessStep:12,urn:procedure-editor:Step:690
4223,6zPJlvPi,13,Route from Treaty Lords AI AND to Treaty Lords AJ AND in the CRAG Treaty Lords Committee procedure,urn:procedure-editor:Step:690,urn:procedure-editor:Step:691
4224,WyadXRaC,13,Route from Treaty Lords AJ AND to Treaty Lords AA Decision in the CRAG Treaty Lords Committee procedure,urn:procedure-editor:Step:691,urn:procedure-editor:Step:738
4225,G9ZURixE,13,Route from Treaty Lords AA Decision to Considered by the Secondary Legislation Scrutiny Committee (SLSC) (House of Lords) in the CRAG Treaty Lords Committee procedure,urn:procedure-editor:Step:738,urn:procedure-editor:BusinessStep:19
4226,b65yWpG5,13,Route from Considered by the Secondary Legislation Scrutiny Committee (SLSC) (House of Lords) to Treaty Lords AJ NOT in the CRAG Treaty Lords Committee procedure,urn:procedure-editor:BusinessStep:19,urn:procedure-editor:Step:764
4234,WcxXcOSh,13,Route from Treaty Lords AI NOT to Treaty Lords AI AND in the CRAG Treaty Lords Committee procedure,urn:procedure-editor:Step:763,urn:procedure-editor:Step:690
4235,veJQIHpS,13,Route from Treaty Lords AJ NOT to Treaty Lords AJ AND in the CRAG Treaty Lords Committee procedure,urn:procedure-editor:Step:764,urn:procedure-editor:Step:691
4257,CloT6Js2,13,Route from Treaty Lords BJ AND to Treaty Lords AC Decision in the CRAG Treaty Lords Committee procedure,urn:procedure-editor:Step:717,urn:procedure-editor:Step:740
4264,w6bhD1Zj,13,Route from Treaty Lords BK AND to Treaty Lords AD Decision in the CRAG Treaty Lords Committee procedure,urn:procedure-editor:Step:718,urn:procedure-editor:Step:741
4271,FPxMabVU,13,Route from Treaty Lords BL AND to Treaty Lords AE Decision in the CRAG Treaty Lords Committee procedure,urn:procedure-editor:Step:719,urn:procedure-editor:Step:742
4300,KUzyzVuv,13,Route from Treaty Lords BI AND to Allocated to the EU Select Committee (House of Lords) in the CRAG Treaty Lords Committee procedure,urn:procedure-editor:Step:716,urn:procedure-editor:BusinessStep:151
4301,s9wJS0uZ,13,Route from Treaty Lords AC Decision to Allocated to the EU Energy and Environment Sub-Committee (House of Lords) in the CRAG Treaty Lords Committee procedure,urn:procedure-editor:Step:740,urn:procedure-editor:BusinessStep:154
4302,gnG3vf4j,13,Route from Treaty Lords AD Decision to Allocated to the EU External Affairs Sub-Committee (House of Lords) in the CRAG Treaty Lords Committee procedure,urn:procedure-editor:Step:741,urn:procedure-editor:BusinessStep:155
4303,Cs57dLAi,13,Route from Treaty Lords AE Decision to Allocated to the EU Financial Affairs Sub-Committee (House of Lords) in the CRAG Treaty Lords Committee procedure,urn:procedure-editor:Step:742,urn:procedure-editor:BusinessStep:152
4304,REwkeZqD,13,Route from Treaty Lords BM AND to Allocated to the EU Home Affairs Sub-Committee (House of Lords) in the CRAG Treaty Lords Committee procedure,urn:procedure-editor:Step:720,urn:procedure-editor:BusinessStep:157
4305,xmBtudNN,13,Route from Treaty Lords BN AND to Allocated to the EU Internal Market Sub-Committee (House of Lords) in the CRAG Treaty Lords Committee procedure,urn:procedure-editor:Step:721,urn:procedure-editor:BusinessStep:153
4306,XmhhpCTH,13,Route from Treaty Lords BO AND to Allocated to the EU Justice Sub-Committee (House of Lords) in the CRAG Treaty Lords Committee procedure,urn:procedure-editor:Step:722,urn:procedure-editor:BusinessStep:156
4307,hLLPf6vJ,13,Route from Treaty Lords BP AND to Allocated to the EU International Agreements Sub-Committee (House of Lords) in the CRAG Treaty Lords Committee procedure,urn:procedure-editor:Step:723,urn:procedure-editor:BusinessStep:225
4308,dMzINFdF,13,Route from Allocated to the EU Select Committee (House of Lords) to Treaty Lords AJ Decision in the CRAG Treaty Lords Committee procedure,urn:procedure-editor:BusinessStep:151,urn:procedure-editor:Step:747
4309,DyNoJ15g,13,Route from Treaty Lords AJ Decision to Information published by the EU Select Committee (House of Lords) in the CRAG Treaty Lords Committee procedure,urn:procedure-editor:Step:747,urn:procedure-editor:BusinessStep:227
4310,GpWjO9at,13,Route from Allocated to the EU Select Committee (House of Lords) to Treaty Lords BI NOT in the CRAG Treaty Lords Committee procedure,urn:procedure-editor:BusinessStep:151,urn:procedure-editor:Step:789
4311,LNLY4ueL,13,Route from Treaty Lords BI NOT to Treaty Lords BI AND in the CRAG Treaty Lords Committee procedure,urn:procedure-editor:Step:789,urn:procedure-editor:Step:716
4312,3XvyNBAs,13,Route from Allocated to the EU Select Committee (House of Lords) to Treaty Lords BQ AND in the CRAG Treaty Lords Committee procedure,urn:procedure-editor:BusinessStep:151,urn:procedure-editor:Step:724
4313,KmvX7Niy,13,Route from Treaty Lords BQ AND to Treaty Lords AL Decision in the CRAG Treaty Lords Committee procedure,urn:procedure-editor:Step:724,urn:procedure-editor:Step:749
4314,qWxAGPMm,13,Route from Treaty Lords AL Decision to Call for evidence opened by the EU Select Committee (House of Lords) in the CRAG Treaty Lords Committee procedure,urn:procedure-editor:Step:749,urn:procedure-editor:BusinessStep:276
4315,xZ39f0ZT,13,Route from Call for evidence opened by the EU Select Committee (House of Lords) to Treaty Lords BQ NOT in the CRAG Treaty Lords Committee procedure,urn:procedure-editor:BusinessStep:276,urn:procedure-editor:Step:797
4316,gYLsyKgX,13,Route from Treaty Lords BQ NOT to Treaty Lords BQ AND in the CRAG Treaty Lords Committee procedure,urn:procedure-editor:Step:797,urn:procedure-editor:Step:724
4318,chvIqjMl,13,Route from Allocated to the EU Select Committee (House of Lords) to Treaty Lords AF OR in the CRAG Treaty Lords Committee procedure,urn:procedure-editor:BusinessStep:151,urn:procedure-editor:Step:736
4321,kWHjuTXn,13,Route from Allocated to the EU International Agreements Sub-Committee (House of Lords) to Treaty Lords AK Decision in the CRAG Treaty Lords Committee procedure,urn:procedure-editor:BusinessStep:225,urn:procedure-editor:Step:748
4322,dfvcymhc,13,Route from Treaty Lords AK Decision to Correspondence published by the EU International Agreements Sub-Committee (House of Lords) in the CRAG Treaty Lords Committee procedure,urn:procedure-editor:Step:748,urn:procedure-editor:BusinessStep:226
4323,N0Mc7uBa,13,Route from Allocated to the EU International Agreements Sub-Committee (House of Lords) to Treaty Lords BR AND in the CRAG Treaty Lords Committee procedure,urn:procedure-editor:BusinessStep:225,urn:procedure-editor:Step:725
