id,label,forbusinessstep,depthinprocedure,displaydepth,triplestoreid
297,European Affairs Committee (EAC) called for a debate on the treaty has step depth 13.800000190734863 in the Treaties subject to the Constitutional Reform and Governance Act 2010 procedure,1325,6,13.800000190734863,yLgdAbYr
298,European Union Committee called for a debate on the treaty has step depth 12.109999656677246 in the Treaties subject to the Constitutional Reform and Governance Act 2010 procedure,1472,6,12.109999656677246,ITEK1ODx
299,Oral evidence session by the International Trade Committee (ITC) has step depth 7 in the Treaties subject to the Constitutional Reform and Governance Act 2010 procedure,1857,6,7,iXNycdCf
300,Preliminary report by the International Trade Committee (ITC) has step depth 8.100000381469727 in the Treaties subject to the Constitutional Reform and Governance Act 2010 procedure,1880,6,8.100000381469727,qhF3HH62
301,Preliminary report by the International Trade Committee (ITC) recommended that objection period A be extended has step depth 8.199999809265137 in the Treaties subject to the Constitutional Reform and Governance Act 2010 procedure,1881,6,8.199999809265137,nrRj4ONJ
302,Preliminary report by the International Trade Committee (ITC) recommended that a debate be held during period A has step depth 8.199999809265137 in the Treaties subject to the Constitutional Reform and Governance Act 2010 procedure,1882,6,8.199999809265137,qZmdjLmj
303,"Preliminary report by the International Trade Committee (ITC) recommended that, should period A not be extended, there should be a debate on a substantive motion during period A has step depth 8.300000190734863 in the Treaties subject to the Constitutional Reform and Governance Act 2010 procedure",1883,6,8.300000190734863,7VTX2Fku
304,International Trade Committee (ITC) requested the recommended debate on a substantive motion take place during period A has step depth 8.5 in the Treaties subject to the Constitutional Reform and Governance Act 2010 procedure,1884,6,8.5,jTm7z37T
305,International Trade Committee (ITC) recommended Members should vote against ratification in any debate on a substantive motion during period A has step depth 8.600000381469727 in the Treaties subject to the Constitutional Reform and Governance Act 2010 procedure,1885,6,8.600000381469727,veaIV01F
306,Chamber debate has step depth 20 in the Draft affirmative procedure,2,3,20,6AylObzV
307,Laid before the House of Commons has step depth 3.0999999046325684 in the Draft affirmative procedure,4,3,3.0999999046325684,WtUpSmHB
308,Considered by the Joint Committee on Statutory Instruments (JCSI) has step depth 4 in the Draft affirmative procedure,8,3,4,kyOgehyP
309,Instrument comes into force as law has step depth 32 in the Draft affirmative procedure,9,3,32,MV5jX96g
310,Considered by the Select Committee on Statutory Instruments (SCSI) has step depth 4 in the Draft affirmative procedure,10,3,4,JNYTBJgb
311,Laid before the House of Lords has step depth 3.0999999046325684 in the Draft affirmative procedure,12,3,3.0999999046325684,H80HrZpR
312,Instrument created has step depth 1 in the Draft affirmative procedure,14,3,1,ZdKiAwoZ
313,Instrument made (signed into law) has step depth 31 in the Draft affirmative procedure,15,3,31,UnWDS8Pk
314,Considered by the Secondary Legislation Scrutiny Committee (SLSC) has step depth 6 in the Draft affirmative procedure,19,3,6,jDbmuNXj
315,Grand Committee debate has step depth 19 in the Draft affirmative procedure,21,3,19,mHJyMjki
316,Chamber debate has step depth 13 in the Draft affirmative procedure,23,3,13,8MKW9S6a
317,Question on motion to approve the instrument put has step depth 14 in the Draft affirmative procedure,26,3,14,E7ox5cC8
318,Motion to approve the instrument withdrawn has step depth 25 in the Draft affirmative procedure,28,3,25,KX8fUcXD
319,Motion to approve the instrument withdrawn has step depth 14 in the Draft affirmative procedure,29,3,14,1wo2XgLl
320,Non-fatal motion to object to the instrument tabled has step depth 9 in the Draft affirmative procedure,32,3,9,RtyXnIyf
321,Motion to approve the instrument tabled by the Government has step depth 7 in the Draft affirmative procedure,33,3,7,etAyZsHN
322,Considered for English votes for English laws (EVEL) certification has step depth 10 in the Draft affirmative procedure,34,3,10,wiutFDOP
323,Non-fatal motion to object to the instrument withdrawn has step depth 23 in the Draft affirmative procedure,36,3,23,zfrGv9S1
324,Delegated Legislation Committee (DLC) debate has step depth 13 in the Draft affirmative procedure,38,3,13,n1s80qbd
325,Instrument approved has step depth 26 in the Draft affirmative procedure,39,3,26,ufyfojxt
326,Instrument approved has step depth 16 in the Draft affirmative procedure,40,3,16,YqUsbDTJ
327,Question on motion to approve the instrument put has step depth 25 in the Draft affirmative procedure,42,3,25,mHEHa3xn
328,Question on non-fatal motion to object to the instrument put has step depth 23 in the Draft affirmative procedure,43,3,23,E86J273A
329,Motion to approve the instrument tabled by the Government has step depth 8 in the Draft affirmative procedure,50,3,8,TGZuxUCG
330,Non-fatal motion to object to the instrument approved has step depth 24 in the Draft affirmative procedure,60,3,24,nKsijaLv
331,Non-fatal motion to object to the instrument rejected has step depth 24 in the Draft affirmative procedure,61,3,24,HJc8sjOx
332,Certified as England only under the English votes for English laws (EVEL) process has step depth 10.100000381469727 in the Draft affirmative procedure,68,3,10.100000381469727,KQEBhptr
333,Drawn to the special attention of the House by the Select Committee on Statutory Instruments (SCSI) has step depth 4.099999904632568 in the Draft affirmative procedure,69,3,4.099999904632568,ia0kzhI7
334,Not drawn to the special attention of the House by the Select Committee on Statutory Instruments (SCSI) has step depth 4.099999904632568 in the Draft affirmative procedure,70,3,4.099999904632568,RUK3jboi
335,No comment by the Secondary Legislation Scrutiny Committee (SLSC) has step depth 6.099999904632568 in the Draft affirmative procedure,72,3,6.099999904632568,hsC766ml
336,Certified as England and Wales only under the English votes for English laws (EVEL) process has step depth 10.100000381469727 in the Draft affirmative procedure,74,3,10.100000381469727,SVwfp1Mh
337,"Certified as England, Wales and Northern Ireland only under the English votes for English laws (EVEL) process has step depth 10.100000381469727 in the Draft affirmative procedure",75,3,10.100000381469727,NJcpJYVs
338,Instrument rejected has step depth 26 in the Draft affirmative procedure,78,3,26,6DRdJn7u
339,Not drawn to the special attention of the Houses by the Joint Committee on Statutory Instruments (JCSI) has step depth 4.099999904632568 in the Draft affirmative procedure,79,3,4.099999904632568,rWvwfO7C
340,Drawn to the special attention of the House by the Secondary Legislation Scrutiny Committee (SLSC) has step depth 6.099999904632568 in the Draft affirmative procedure,84,3,6.099999904632568,dKFti6Zs
341,Instrument can be made (signed into law) has step depth 29 in the Draft affirmative procedure,85,3,29,WHNKagPx
342,Instrument cannot become law has step depth 29 in the Draft affirmative procedure,91,3,29,bsUN9grq
343,Drawn to the special attention of the Houses by the Joint Committee on Statutory Instruments (JCSI) has step depth 4.099999904632568 in the Draft affirmative procedure,92,3,4.099999904632568,6VBuOVrX
344,Not certified under the English votes for English laws (EVEL) process has step depth 10.100000381469727 in the Draft affirmative procedure,94,3,10.100000381469727,aggiNWxt
345,Instrument rejected has step depth 16 in the Draft affirmative procedure,96,3,16,ZtNyUMpt
346,Decision on motion to approve the instrument deferred has step depth 15 in the Draft affirmative procedure,100,3,15,H6OoOxeU
347,Scrutiny reserve for the Joint Committee on Statutory Instruments (JCSI) dispensed with has step depth 18 in the Draft affirmative procedure,105,3,18,tD1Eleex
348,Instrument withdrawn from the House of Lords has step depth 3.200000047683716 in the Draft affirmative procedure,106,3,3.200000047683716,JX6XyPvJ
349,Instrument withdrawn from the House of Commons has step depth 3.200000047683716 in the Draft affirmative procedure,107,3,3.200000047683716,wYpYZ0sL
350,Procedure concluded in the House of Commons has step depth 30 in the Draft affirmative procedure,110,3,30,rVquHd3g
351,Procedure concluded in the House of Commons and the House of Lords has step depth 30 in the Draft affirmative procedure,111,3,30,hN1CvZr8
352,Information paragraph provided by the Secondary Legislation Scrutiny Committee (SLSC) has step depth 6.199999809265137 in the Draft affirmative procedure,143,3,6.199999809265137,3b3bOM6U
353,Non-fatal motion to object to the instrument not moved has step depth 23 in the Draft affirmative procedure,188,3,23,lqo2YSNs
354,Motion to take note of the instrument tabled has step depth 12 in the Draft affirmative procedure,194,3,12,PGcNsE0b
355,Motion to take note of the instrument withdrawn has step depth 28 in the Draft affirmative procedure,195,3,28,HugMHNHA
356,Motion to approve the instrument lapsed at end of session has step depth 14 in the Draft affirmative procedure,213,3,14,YxCaoJ0v
357,Motion to approve the instrument lapsed at end of session has step depth 25 in the Draft affirmative procedure,214,3,25,eJ3GOMCP
358,Non-fatal motion to object to the instrument lapsed at end of session has step depth 23 in the Draft affirmative procedure,215,3,23,qi72pxoz
359,Business motion allowing a motion to approve the instrument to be tabled before laying has step depth 0 in the Draft affirmative procedure,222,3,0,9dqv1GIE
360,Further information published by the Secondary Legislation Scrutiny Committee (SLSC) has step depth 6.199999809265137 in the Draft affirmative procedure,224,3,6.199999809265137,bdZcTvjC
361,Instrument introducing one or more criminal offences under Schedule 7 of the European Union (Withdrawal) Act 2018 created has step depth 1 in the Draft affirmative procedure,233,3,1,PxkW0CyM
362,"Statement deposited by the Government, declaring the introduction of one or more criminal offences under Schedule 7 of the European Union (Withdrawal) Act 2018 has step depth 2 in the Draft affirmative procedure",234,3,2,rCKelxuY
363,"Statement deposited by the Government, declaring the introduction of one or more criminal offences under Schedule 7 of the European Union (Withdrawal) Act 2018 has step depth 2 in the Draft affirmative procedure",235,3,2,CqgRhAE8
364,Oral evidence session by the Secondary Legislation Scrutiny Committee (SLSC) has step depth 5 in the Draft affirmative procedure,979,3,5,moWFVaKa
365,Motion to approve the instrument not moved has step depth 14 in the Draft affirmative procedure,1135,3,14,fXTDOX5a
366,Motion to approve the instrument not called has step depth 14 in the Draft affirmative procedure,1136,3,14,Zo6GXFg2
367,Motion to approve the instrument not moved has step depth 25 in the Draft affirmative procedure,1139,3,25,gJCO4vWy
368,Motion to approve the instrument not called has step depth 25 in the Draft affirmative procedure,1140,3,25,HwHlrERt
369,Non-fatal motion to object to the instrument not called has step depth 23 in the Draft affirmative procedure,1142,3,23,7HXqQPU7
370,Written statement invoking the urgent procedure set out in Paragraph 14(6) of Schedule 8 of the European Union (Withdrawal) Act 2018 has step depth 3 in the Draft affirmative procedure,1281,3,3,7M9BlcqF
371,Instrument created under the urgent procedure set out in Paragraph 14(6) of Schedule 8 of the European Union (Withdrawal) Act 2018 has step depth 1 in the Draft affirmative procedure,1282,3,1,DRtVwija
372,Written statement invoking the urgent procedure set out in Paragraph 14(6) of Schedule 8 of the European Union (Withdrawal) Act 2018 has step depth 3 in the Draft affirmative procedure,1322,3,3,DAN78Tja
373,Deferred decision on motion to approve the instrument cancelled has step depth 16 in the Draft affirmative procedure,1445,3,16,fSXgqQrW
374,Motion to stop the instrument becoming law tabled has step depth 11 in the Draft affirmative procedure,1500,3,11,R9ZTbKe2
375,Motion to stop the instrument becoming law withdrawn has step depth 21 in the Draft affirmative procedure,1501,3,21,NdpsLHZJ
376,Motion to stop the instrument becoming law lapsed at end of session has step depth 21 in the Draft affirmative procedure,1502,3,21,fVDXxZiy
377,Motion to stop the instrument becoming law not moved has step depth 21 in the Draft affirmative procedure,1503,3,21,DSyeMAnX
378,Motion to stop the instrument becoming law not called has step depth 21 in the Draft affirmative procedure,1504,3,21,05XQ5CyR
379,Question on motion to stop the instrument becoming law put has step depth 21 in the Draft affirmative procedure,1505,3,21,xCNKOoLs
380,Motion to stop the instrument becoming law rejected has step depth 22 in the Draft affirmative procedure,1506,3,22,XqtiPDba
381,Motion to stop the instrument becoming law approved has step depth 22 in the Draft affirmative procedure,1507,3,22,2eLbC95o
382,Instrument created under the United Kingdom Internal Market Act 2020 has step depth 1 in the Draft affirmative procedure,1908,3,1,ZsMTyeJo
383,Written statement explaining why the Government decided to make the regulations without the consent of the devolved authorities has step depth 29.100000381469727 in the Draft affirmative procedure,1910,3,29.100000381469727,3WsxMMGP
384,Written statement explaining why the Government decided to make the regulations without the consent of the devolved authorities has step depth 29.100000381469727 in the Draft affirmative procedure,1911,3,29.100000381469727,H4CjsfGY
385,Instrument created has step depth 1 in the Made negative procedure,14,4,1,gJg2Bd63
386,Instrument introducing one or more criminal offences under Schedule 7 of the European Union (Withdrawal) Act 2018 created has step depth 1 in the Made negative procedure,233,4,1,W2UPjoVG
387,Instrument created under the urgent procedure set out in Paragraph 14(6) of Schedule 8 of the European Union (Withdrawal) Act 2018 has step depth 1 in the Made negative procedure,1282,4,1,sgwFJRJf
388,"Statement deposited by the Government, declaring the introduction of one or more criminal offences under Schedule 7 of the European Union (Withdrawal) Act 2018 has step depth 2 in the Made negative procedure",234,4,2,Tmqcjc9D
389,"Statement deposited by the Government, declaring the introduction of one or more criminal offences under Schedule 7 of the European Union (Withdrawal) Act 2018 has step depth 2 in the Made negative procedure",235,4,2,4MJVWkRK
390,Instrument made (signed into law) has step depth 3 in the Made negative procedure,15,4,3,SbT8DrTZ
391,Instrument comes into force as law has step depth 3.0999999046325684 in the Made negative procedure,9,4,3.0999999046325684,nitiRVp6
392,Laid before the House of Lords has step depth 3.200000047683716 in the Made negative procedure,12,4,3.200000047683716,MxITkDV3
393,Laid before the House of Commons has step depth 3.200000047683716 in the Made negative procedure,4,4,3.200000047683716,2QhATd0f
394,Communication declaring the instrument had come into operation before being laid before Parliament has step depth 3.299999952316284 in the Made negative procedure,200,4,3.299999952316284,fyAKCucV
395,Communication declaring the instrument had come into operation before being laid before Parliament has step depth 3.299999952316284 in the Made negative procedure,201,4,3.299999952316284,Tzg6pJ4J
396,Considered by the Select Committee on Statutory Instruments (SCSI) has step depth 4 in the Made negative procedure,10,4,4,MjqNAIUs
397,Drawn to the special attention of the House by the Select Committee on Statutory Instruments (SCSI) has step depth 4.099999904632568 in the Made negative procedure,69,4,4.099999904632568,pBNVi83K
398,Not drawn to the special attention of the House by the Select Committee on Statutory Instruments (SCSI) has step depth 4.099999904632568 in the Made negative procedure,70,4,4.099999904632568,k1KgGluC
399,Considered by the Joint Committee on Statutory Instruments (JCSI) has step depth 4 in the Made negative procedure,8,4,4,cZQXFEwf
400,Not drawn to the special attention of the Houses by the Joint Committee on Statutory Instruments (JCSI) has step depth 4.099999904632568 in the Made negative procedure,79,4,4.099999904632568,CzfFUzDe
401,Drawn to the special attention of the Houses by the Joint Committee on Statutory Instruments (JCSI) has step depth 4.099999904632568 in the Made negative procedure,92,4,4.099999904632568,38yh5ngG
402,Oral evidence session by the Secondary Legislation Scrutiny Committee (SLSC) has step depth 5 in the Made negative procedure,979,4,5,VoZEXylX
403,Considered by the Secondary Legislation Scrutiny Committee (SLSC) has step depth 6 in the Made negative procedure,19,4,6,LpTDmwdN
404,No comment by the Secondary Legislation Scrutiny Committee (SLSC) has step depth 6.099999904632568 in the Made negative procedure,72,4,6.099999904632568,7499f4Xh
405,Drawn to the special attention of the House by the Secondary Legislation Scrutiny Committee (SLSC) has step depth 6.099999904632568 in the Made negative procedure,84,4,6.099999904632568,5mPFrDTm
406,Information paragraph provided by the Secondary Legislation Scrutiny Committee (SLSC) has step depth 6.099999904632568 in the Made negative procedure,143,4,6.099999904632568,Qo6W98LI
407,Further information published by the Secondary Legislation Scrutiny Committee (SLSC) has step depth 6.199999809265137 in the Made negative procedure,224,4,6.199999809265137,OshkhGiq
408,Motion (prayer) to stop the instrument being law tabled has step depth 7 in the Made negative procedure,6,4,7,516Cccfh
409,Non-fatal motion (prayer) to object to the instrument tabled has step depth 8 in the Made negative procedure,57,4,8,eF89AEBY
410,Motion to refer to a Delegated Legislation Committee (DLC) has step depth 9 in the Made negative procedure,24,4,9,3nMnWwWS
411,Considered for English votes for English laws (EVEL) certification has step depth 10 in the Made negative procedure,34,4,10,a7f2KB0C
412,Certified as England only under the English votes for English laws (EVEL) process has step depth 10.100000381469727 in the Made negative procedure,68,4,10.100000381469727,3hd2XtP6
413,Certified as England and Wales only under the English votes for English laws (EVEL) process has step depth 10.100000381469727 in the Made negative procedure,74,4,10.100000381469727,HokzihFG
414,"Certified as England, Wales and Northern Ireland only under the English votes for English laws (EVEL) process has step depth 10.100000381469727 in the Made negative procedure",75,4,10.100000381469727,Jxak02hD
415,Not certified under the English votes for English laws (EVEL) process has step depth 10.100000381469727 in the Made negative procedure,94,4,10.100000381469727,mlNMAamt
416,Chamber debate has step depth 11 in the Made negative procedure,23,4,11,7ayLwp1p
417,Delegated Legislation Committee (DLC) debate has step depth 11 in the Made negative procedure,38,4,11,5WQtr0L9
418,Proposed negative statutory instrument created has step depth 1 in the Proposed negative statutory instrument procedure,99,2,1,wVDtzu4T
419,Chamber debate has step depth 22 in the Made negative procedure,2,4,22,sRVcoYwa
420,Grand Committee debate has step depth 21 in the Made negative procedure,21,4,21,jcnE3B43
421,Question on motion (prayer) to stop the instrument being law put has step depth 12 in the Made negative procedure,22,4,12,FDIXUjSX
422,Motion (prayer) to stop the instrument being law withdrawn has step depth 12 in the Made negative procedure,76,4,12,8E9emXdk
423,Motion (prayer) to stop the instrument being law not moved has step depth 12 in the Made negative procedure,186,4,12,wvo3wmPO
424,Motion (prayer) to stop the instrument being law lapsed at end of session has step depth 12 in the Made negative procedure,211,4,12,efksajYT
425,Motion (prayer) to stop the instrument being law not called has step depth 12 in the Made negative procedure,1089,4,12,bdnRwBdk
426,Decision on motion (prayer) to stop the instrument being law deferred has step depth 13 in the Made negative procedure,166,4,13,agvPtyqI
427,Motion (prayer) to stop the instrument being law approved has step depth 14 in the Made negative procedure,35,4,14,ZvlJlAXA
428,Motion (prayer) to stop the instrument being law rejected has step depth 14 in the Made negative procedure,37,4,14,2rebxFqL
429,Question on non-fatal motion (prayer) to object to the instrument put has step depth 15 in the Made negative procedure,77,4,15,JV81Ay3C
430,Non-fatal motion (prayer) to object to the instrument withdrawn has step depth 15 in the Made negative procedure,83,4,15,jTEgamlF
431,Non-fatal motion (prayer) to object to the instrument approved has step depth 17 in the Made negative procedure,90,4,17,c94FxQ3k
432,Non-fatal motion (prayer) to object to the instrument rejected has step depth 17 in the Made negative procedure,95,4,17,ajYLhCZw
433,Non-fatal motion (prayer) to object to the instrument not moved has step depth 15 in the Made negative procedure,183,4,15,E6NqAA3O
434,Non-fatal motion (prayer) to object to the instrument lapsed at end of session has step depth 15 in the Made negative procedure,204,4,15,Eq6zqx8Q
435,Decision on non-fatal motion (prayer) to object to the instrument deferred has step depth 16 in the Made negative procedure,209,4,16,RAEBUlP5
436,Non-fatal motion (prayer) to object to the instrument not called has step depth 15 in the Made negative procedure,1094,4,15,BhpvE6rv
437,Non-fatal motion (prayer) to object to the instrument tabled has step depth 18 in the Made negative procedure,5,4,18,G3nfZxdl
438,Motion (prayer) to stop the instrument being law tabled has step depth 19 in the Made negative procedure,47,4,19,g7JuUSc8
439,Motion to take note of the instrument tabled has step depth 20 in the Made negative procedure,194,4,20,UXWPu4lO
440,Non-fatal motion (prayer) to object to the instrument rejected has step depth 26 in the Made negative procedure,7,4,26,qkM2E443
441,Motion (prayer) to stop the instrument being law approved has step depth 24 in the Made negative procedure,13,4,24,XMpFsZ5d
442,Motion (prayer) to stop the instrument being law rejected has step depth 24 in the Made negative procedure,16,4,24,zEcQvrEy
443,Non-fatal motion (prayer) to object to the instrument approved has step depth 26 in the Made negative procedure,20,4,26,HkcJDpBE
444,Non-fatal motion (prayer) to object to the instrument withdrawn has step depth 25 in the Made negative procedure,41,4,25,8wephcTb
445,Question on non-fatal motion (prayer) to object to the instrument put has step depth 25 in the Made negative procedure,48,4,25,MsjvQECM
446,Question on motion (prayer) to stop the instrument being law put has step depth 23 in the Made negative procedure,52,4,23,hG0gvmdK
447,Motion (prayer) to stop the instrument being law withdrawn has step depth 23 in the Made negative procedure,82,4,23,1X7TYBsN
448,Non-fatal motion (prayer) to object to the instrument not moved has step depth 25 in the Made negative procedure,185,4,25,OQY53DYk
449,Motion (prayer) to stop the instrument being law not moved has step depth 23 in the Made negative procedure,187,4,23,ygscMTxH
450,Motion to take note of the instrument withdrawn has step depth 27 in the Made negative procedure,195,4,27,grP7DlNJ
451,Motion to take note of the instrument lapsed at end of session has step depth 27 in the Made negative procedure,207,4,27,lH3glvzC
452,Non-fatal motion (prayer) to object to the instrument lapsed at end of session has step depth 25 in the Made negative procedure,208,4,25,BpC0h4i9
453,Motion (prayer) to stop the instrument being law lapsed at end of session has step depth 23 in the Made negative procedure,212,4,23,uvJ21cb5
454,Non-fatal motion (prayer) to object to the instrument not called has step depth 25 in the Made negative procedure,1104,4,25,8gJxvDW7
455,Motion (prayer) to stop the instrument being law not called has step depth 23 in the Made negative procedure,1108,4,23,f4fucWBs
456,Motion to take note of the instrument not moved has step depth 27 in the Made negative procedure,1112,4,27,dhE7iNX3
457,Motion to take note of the instrument not called has step depth 27 in the Made negative procedure,1113,4,27,eUfunTz8
458,Question on motion to take note of the instrument put has step depth 27 in the Made negative procedure,1115,4,27,dXrqyN5Q
459,Motion to take note of the instrument approved has step depth 28 in the Made negative procedure,1118,4,28,LKvUbY7J
460,Motion to take note of the instrument rejected has step depth 28 in the Made negative procedure,1119,4,28,nlMFlEGW
461,Written statement invoking the urgent procedure set out in Paragraph 14(6) of Schedule 8 of the European Union (Withdrawal) Act 2018 has step depth 3.4000000953674316 in the Made negative procedure,1281,4,3.4000000953674316,RetgTO1o
462,Written statement invoking the urgent procedure set out in Paragraph 14(6) of Schedule 8 of the European Union (Withdrawal) Act 2018 has step depth 3.4000000953674316 in the Made negative procedure,1322,4,3.4000000953674316,7d7D2YbP
463,Instrument stops being law has step depth 32 in the Made negative procedure,44,4,32,AfjtqThm
464,Objection period ends has step depth 31 in the Made negative procedure,64,4,31,PA7x2Cna
465,Instrument remains law has step depth 32 in the Made negative procedure,86,4,32,Y073GY2B
466,Procedure concluded in the House of Commons has step depth 33 in the Made negative procedure,110,4,33,IJOSuVek
467,Procedure concluded in the House of Commons and the House of Lords has step depth 33 in the Made negative procedure,111,4,33,z8D4Fu4L
468,Instrument revoked by another instrument has step depth 29 in the Made negative procedure,230,4,29,J5nUmD28
469,Instrument replaced by revoking instrument has step depth 30 in the Made negative procedure,231,4,30,pakJv1A9
470,Laid before the House of Commons has step depth 2 in the Proposed negative statutory instrument procedure,4,2,2,ZZafOTw2
471,Laid before the House of Lords has step depth 2 in the Proposed negative statutory instrument procedure,12,2,2,UleUhY8K
472,Considered by the Secondary Legislation Scrutiny Committee (SLSC) has step depth 5 in the Proposed negative statutory instrument procedure,19,2,5,nvbZn0Tj
473,European Statutory Instruments Committee (ESIC) agreed the instrument should follow the negative procedure has step depth 4.099999904632568 in the Proposed negative statutory instrument procedure,65,2,4.099999904632568,CqbF5OWA
474,European Statutory Instruments Committee (ESIC) recommended the instrument should follow the affirmative procedure has step depth 4.099999904632568 in the Proposed negative statutory instrument procedure,66,2,4.099999904632568,j0vTXIzp
475,Committee sifting period ends has step depth 6 in the Proposed negative statutory instrument procedure,71,2,6,U6Lcx9Q9
476,Secondary Legislation Scrutiny Committee (SLSC) recommended the instrument should follow the affirmative procedure has step depth 5.099999904632568 in the Proposed negative statutory instrument procedure,81,2,5.099999904632568,Abcpmz3z
477,Considered by the European Statutory Instruments Committee (ESIC) has step depth 4 in the Proposed negative statutory instrument procedure,93,2,4,68VMxJH0
478,Secondary Legislation Scrutiny Committee (SLSC) agreed the instrument should follow the negative procedure has step depth 5.099999904632568 in the Proposed negative statutory instrument procedure,98,2,5.099999904632568,pVLiOfek
479,Proposed negative statutory instrument withdrawn from the House of Lords has step depth 3 in the Proposed negative statutory instrument procedure,108,2,3,l9QhNGXb
480,Proposed negative statutory instrument withdrawn from the House of Commons has step depth 3 in the Proposed negative statutory instrument procedure,109,2,3,pRSbr0Oc
481,Procedure concluded in the House of Commons and the House of Lords has step depth 7 in the Proposed negative statutory instrument procedure,111,2,7,aZUTmokb
482,Ministerial statement of disagreement with sifting recommendation has step depth 4.199999809265137 in the Proposed negative statutory instrument procedure,113,2,4.199999809265137,HNGuABwx
483,Ministerial statement of disagreement with sifting recommendation has step depth 5.199999809265137 in the Proposed negative statutory instrument procedure,114,2,5.199999809265137,vNhG3Hq3
484,Considered by the Secondary Legislation Scrutiny Committee (SLSC) has step depth 4 in the Published draft under European Union (Withdrawal) Act 2018 (Repealed) procedure,19,10,4,xjSfmv44
485,Procedure concluded in the House of Commons has step depth 6 in the Published draft under European Union (Withdrawal) Act 2018 (Repealed) procedure,110,10,6,QVk5X2xG
486,Procedure concluded in the House of Commons and the House of Lords has step depth 6 in the Published draft under European Union (Withdrawal) Act 2018 (Repealed) procedure,111,10,6,EQeRhOGb
487,Published draft under Schedule 8 of the European Union (Withdrawal) Act 2018 has step depth 1 in the Published draft under European Union (Withdrawal) Act 2018 (Repealed) procedure,848,10,1,j9QkxnxD
488,Notification from Department announcing the publication of the draft laid before the House of Commons has step depth 2 in the Published draft under European Union (Withdrawal) Act 2018 (Repealed) procedure,849,10,2,PNsd5jiT
489,Notification from Department announcing the publication of the draft laid before the House of Lords has step depth 2 in the Published draft under European Union (Withdrawal) Act 2018 (Repealed) procedure,850,10,2,YcK8oW0G
490,Scrutiny period under Schedule 8 of the European Union (Withdrawal) Act 2018 ends has step depth 5 in the Published draft under European Union (Withdrawal) Act 2018 (Repealed) procedure,856,10,5,imRLpf3Q
491,Ministerial statement announcing the publication of the draft has step depth 3 in the Published draft under European Union (Withdrawal) Act 2018 (Repealed) procedure,900,10,3,7Ihu8GW8
492,Secondary Legislation Scrutiny Committee (SLSC) made recommendations on published draft has step depth 4.099999904632568 in the Published draft under European Union (Withdrawal) Act 2018 (Repealed) procedure,977,10,4.099999904632568,b3cDSx6C
493,Secondary Legislation Scrutiny Committee (SLSC) made no comment on published draft has step depth 4.099999904632568 in the Published draft under European Union (Withdrawal) Act 2018 (Repealed) procedure,978,10,4.099999904632568,jJzawV5V
494,Ministerial statement announcing the publication of the draft has step depth 3 in the Published draft under European Union (Withdrawal) Act 2018 (Repealed) procedure,1454,10,3,EiiQ93zN
495,Laid before the House of Commons has step depth 2 in the Proposed draft remedial order procedure,4,42,2,ZOD07Im9
496,Laid before the House of Lords has step depth 2 in the Proposed draft remedial order procedure,12,42,2,G2TEAsUj
497,Procedure concluded in the House of Commons and the House of Lords has step depth 7 in the Proposed draft remedial order procedure,111,42,7,cAOiDvqE
498,Considered by the Joint Committee on Human Rights (JCHR) has step depth 5 in the Proposed draft remedial order procedure,247,42,5,Ye7SlC5B
499,Proposal for a draft remedial order created has step depth 1 in the Proposed draft remedial order procedure,1405,42,1,U4PcamA6
500,Proposal for a draft remedial order withdrawn from the House of Commons has step depth 4 in the Proposed draft remedial order procedure,1406,42,4,0vvmBsNz
501,Drawn to the special attention of the House by the Joint Committee on Human Rights (JCHR) has step depth 5.099999904632568 in the Proposed draft remedial order procedure,1407,42,5.099999904632568,2QByIjbq
502,Joint Committee on Human Rights (JCHR) recommended there should be no draft Order and the Government should bring forward primary legislation has step depth 5.199999809265137 in the Proposed draft remedial order procedure,1408,42,5.199999809265137,SOjpTiQX
503,Joint Committee on Human Rights (JCHR) recommended a draft Order be laid in the same terms as the proposal has step depth 5.199999809265137 in the Proposed draft remedial order procedure,1409,42,5.199999809265137,hw0KmeN9
504,Joint Committee on Human Rights (JCHR) recommended a draft Order be laid in an amended form has step depth 5.199999809265137 in the Proposed draft remedial order procedure,1410,42,5.199999809265137,03ISsf3m
505,Joint Committee on Human Rights (JCHR) recommended the Order be laid under the urgent procedure in an amended form has step depth 5.199999809265137 in the Proposed draft remedial order procedure,1411,42,5.199999809265137,4MWiJNsj
506,Joint Committee on Human Rights (JCHR) recommended the Order be laid under the urgent procedure in the same terms as the proposal has step depth 5.199999809265137 in the Proposed draft remedial order procedure,1412,42,5.199999809265137,Uqkiw01R
507,Government response to the decision made by the Joint Committee on Human Rights (JCHR) has step depth 5.300000190734863 in the Proposed draft remedial order procedure,1413,42,5.300000190734863,K7tIShZx
508,Proposed Remedial Order scrutiny period ends has step depth 6 in the Proposed draft remedial order procedure,1414,42,6,Xvp6tpPj
509,Proposal for a draft remedial order withdrawn from the House of Lords has step depth 4 in the Proposed draft remedial order procedure,1421,42,4,YrZAlTG1
510,Statement informing the House that a proposal for a draft remedial order has been laid has step depth 3 in the Proposed draft remedial order procedure,1476,42,3,QsANexGk
511,Statement informing the House that a proposal for a draft remedial order has been laid has step depth 3 in the Proposed draft remedial order procedure,1477,42,3,mZUztyEe
